JUDET,Numar total someri,Numar total someri femei ,Numar total someri barbati ,Numar  someri indemnizati ,Numar someri neindemniza?i, Rata somajului (%) , Rata somajului Feminina (%) , Rata somajului Masculina (%) 
ALBA ,5690,2546,3144,1767,3923, 3.38     , 3.37     , 3.38     
ARAD,2859,1361,1498,839,2020, 1.32     , 1.41     , 1.25     
ARGES,8822,3930,4892,1561,7261, 3.44     , 3.27     , 3.59     
BACAU,12947,5118,7829,1797,11150, 6.12     , 5.64     , 6.49     
BIHOR,4144,2120,2024,1571,2573, 1.55     , 1.68     , 1.43     
BISTRITA NASAUD,3395,1711,1684,1451,1944, 2.57     , 2.89     , 2.31     
BOTOSANI,4146,1817,2329,693,3453, 2.97     , 2.72     , 3.20     
BRAILA,5177,2074,3103,507,4670, 4.16     , 3.76     , 4.48     
BRASOV,6331,2761,3570,906,5425, 2.41     , 2.52     , 2.34     
BUZAU,12526,5037,7489,1370,11156, 7.17     , 6.44     , 7.76     
CALARASI,3984,1911,2073,534,3450, 4.23     , 4.24     , 4.22     
CARAS-SEVERIN,3767,1667,2100,1390,2377, 3.39     , 3.37     , 3.40     
CLUJ,5088,2529,2559,1233,3855, 1.41     , 1.57     , 1.28     
CONSTANTA,5534,2824,2710,1579,3955, 1.87     , 2.31     , 1.55     
COVASNA,3101,1372,1729,480,2621, 3.59     , 3.35     , 3.82     
DAMBOVITA,9255,4271,4984,1135,8120, 4.77     , 5.33     , 4.38     
DOLJ,20432,8392,12040,2130,18302, 7.71     , 7.05     , 8.24     
GALATI,13731,5979,7752,1219,12512, 7.08     , 6.93     , 7.20     
GIURGIU,2515,1255,1260,482,2033, 3.03     , 3.29     , 2.81     
GORJ,6052,2688,3364,2059,3993, 4.45     , 4.38     , 4.51     
HARGHITA,5754,2545,3209,1433,4321, 4.25     , 4.32     , 4.19     
HUNEDOARA,6786,3432,3354,3130,3656, 3.74     , 4.14     , 3.41     
IALOMITA,5412,2328,3084,827,4585, 5.63     , 5.27     , 5.93     
IASI,9927,4241,5686,920,9007, 3.43     , 3.23     , 3.61     
ILFOV,1118,605,513,355,763, 0.60     , 0.75     , 0.48     
MARAMURES,6473,3109,3364,1353,5120, 3.30     , 3.45     , 3.16     
MEHEDINTI,8717,3526,5191,1661,7056, 8.37     , 7.35     , 9.25     
BUCURESTI,17371,9094,8277,2290,15081, 1.46     , 1.56     , 1.36     
MURES,7411,2780,4631,1064,6347, 3.17     , 2.72     , 3.52     
NEAMT,9441,4016,5425,1545,7896, 5.18     , 5.08     , 5.25     
OLT,10235,4144,6091,1059,9176, 6.29     , 5.52     , 6.96     
PRAHOVA,8281,3976,4305,2550,5731, 2.79     , 3.06     , 2.57     
SALAJ,4675,1892,2783,846,3829, 4.53     , 4.10     , 4.88     
SATU M.,3913,1692,2221,439,3474, 2.66     , 2.52     , 2.78     
SIBIU,3703,1719,1984,967,2736, 1.87     , 1.94     , 1.82     
SUCEAVA,12323,5422,6901,2891,9432, 5.31     , 5.20     , 5.41     
TELEORMAN,12299,4917,7382,1495,10804, 8.27     , 6.77     , 9.70     
TIMIS,2912,1567,1345,1487,1425, 0.84     , 1.03     , 0.69     
TULCEA,2505,1123,1382,554,1951, 2.98     , 2.86     , 3.08     
VALCEA,5423,2659,2764,1703,3720, 3.34     , 3.66     , 3.07     
VASLUI,12163,4783,7380,847,11316, 8.70     , 7.16     , 10.11     
VRANCEA,6251,2652,3599,934,5317, 4.50     , 4.01     , 4.95     
Total,302589,133585,169004,55053,247536, 3.46     , 3.37     , 3.54
