JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5690,2546,3144,1991,1006,985,3699,1540,2159
ARAD,2859,1361,1498,935,495,440,1924,866,1058
ARGES,8822,3930,4892,1234,722,512,7588,3208,4380
BACAU,12947,5118,7829,2812,1193,1619,10135,3925,6210
BIHOR,4144,2120,2024,1293,754,539,2851,1366,1485
BISTRITA-NASAUD,3395,1711,1684,1011,585,426,2384,1126,1258
BOTOSANI,4146,1817,2329,1323,644,679,2823,1173,1650
BRASOV,6331,2761,3570,1722,894,828,4609,1867,2742
BRAILA,5177,2074,3103,1200,579,621,3977,1495,2482
BUCURESTI,17371,9094,8277,17371,9094,8277,0,0,0
BUZAU,12526,5037,7489,2225,1077,1148,10301,3960,6341
CARAS-SEVERIN,3767,1667,2100,1544,725,819,2223,942,1281
CALARASI,3984,1911,2073,924,494,430,3060,1417,1643
CLUJ,5088,2529,2559,2235,1302,933,2853,1227,1626
CONSTANTA,5534,2824,2710,2751,1592,1159,2783,1232,1551
COVASNA,3101,1372,1729,1001,466,535,2100,906,1194
DAMBOVITA,9255,4271,4984,1481,762,719,7774,3509,4265
DOLJ,20432,8392,12040,2974,1523,1451,17458,6869,10589
GALATI,13731,5979,7752,2601,1434,1167,11130,4545,6585
GIURGIU,2515,1255,1260,559,321,238,1956,934,1022
GORJ,6052,2688,3364,1966,1009,957,4086,1679,2407
HARGHITA,5754,2545,3209,1772,866,906,3982,1679,2303
HUNEDOARA,6786,3432,3354,4752,2467,2285,2034,965,1069
IALOMITA,5412,2328,3084,1607,675,932,3805,1653,2152
IASI,9927,4241,5686,1683,809,874,8244,3432,4812
ILFOV,1118,605,513,227,147,80,891,458,433
MARAMURES,6473,3109,3364,3216,1637,1579,3257,1472,1785
MEHEDINTI,8717,3526,5191,1802,792,1010,6915,2734,4181
MURES,7411,2780,4631,1249,665,584,6162,2115,4047
NEAMT,9441,4016,5425,1634,832,802,7807,3184,4623
OLT,10235,4144,6091,2035,989,1046,8200,3155,5045
PRAHOVA,8281,3976,4305,2658,1393,1265,5623,2583,3040
SATU-MARE,3913,1692,2221,748,359,389,3165,1333,1832
SALAJ,4675,1892,2783,889,456,433,3786,1436,2350
SIBIU,3703,1719,1984,1179,596,583,2524,1123,1401
SUCEAVA,12323,5422,6901,3263,1629,1634,9060,3793,5267
TELEORMAN,12299,4917,7382,2696,1265,1431,9603,3652,5951
TIMIS,2912,1567,1345,1354,804,550,1558,763,795
TULCEA,2505,1123,1382,693,363,330,1812,760,1052
VASLUI,12163,4783,7380,1381,696,685,10782,4087,6695
VALCEA,5423,2659,2764,1920,1015,905,3503,1644,1859
VRANCEA,6251,2652,3599,1291,628,663,4960,2024,2936
Total TARA ,302589,133585,169004,89202,45754,43448,213387,87831,125556
