JUDET  ,"Total someri, din care: ",fara studii,invatamant primar , invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA,5690,704,775,1670,1283,44,946,268
ARAD,2859,0,1102,896,434,25,208,194
ARGES,8822,893,2240,2891,1204,74,1166,354
BACAU,12947,1984,2878,2450,2162,126,2933,414
BIHOR,4144,716,823,818,861,84,419,423
BISTRITA-NASAUD,3395,73,476,1351,694,47,549,205
BOTOSANI,4146,165,1229,1223,705,41,641,142
BRAILA,5177,864,1367,1807,401,44,509,185
BRASOV,6331,575,1627,2689,627,60,440,313
BUCURESTI,17371,30,149,3072,5743,317,3087,4973
BUZAU,12526,1305,1474,6508,1393,77,1627,142
CALARASI,3984,558,1059,1296,652,34,319,66
CARAS,3767,260,607,1224,928,58,475,215
CLUJ,5088,944,832,1116,935,86,711,464
CONSTANTA,5534,413,1037,1440,903,65,758,918
COVASNA,3101,453,935,730,595,22,282,84
DAMBOVITA,9255,1041,1880,2471,2385,61,1137,280
DOLJ,20432,929,9288,5892,1968,120,1836,399
GALATI,13731,1664,2587,5606,2232,54,1273,315
GIURGIU,2515,434,490,738,587,18,179,69
GORJ,6052,304,484,1941,1654,164,1110,395
HARGHITA,5754,1334,1444,994,1107,47,588,240
HUNEDOARA,6786,570,573,1654,2196,107,1074,612
IALOMITA,5412,367,1353,2048,794,53,727,70
IASI,9927,779,1978,3411,958,60,2436,305
ILFOV,1118,231,325,165,222,6,84,85
MARAMURES,6473,200,2614,1341,1207,85,669,357
MEHEDINTI,8717,0,1774,4289,1404,118,1033,99
MURES,7411,1235,2323,1564,602,61,1402,224
NEAMT,9441,1091,1693,2952,1911,79,1452,263
OLT,10235,1532,1297,4381,1460,60,1391,114
PRAHOVA,8281,433,2688,1883,1473,128,1204,472
SALAJ,4675,198,992,2123,736,25,447,154
SATU-MARE,3913,442,1846,1005,295,10,217,98
SIBIU,3703,194,1012,1341,426,52,430,248
SUCEAVA,12323,90,372,7333,2263,126,1761,378
TELEORMAN,12299,529,1919,6440,1988,78,1228,117
TIMIS,2912,409,315,541,696,39,526,386
TULCEA,2505,0,834,1057,369,0,221,24
VALCEA,5423,193,531,1599,1746,93,909,352
VASLUI,12163,480,2537,5258,2116,56,1610,106
VRANCEA,6251,680,1852,1970,910,52,637,150
Total tara,302589,25296,63611,101178,53225,2956,40651,15672
