JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant profesional/arte si meserii,invatamant liceal,invatamant posticeal,invatamant universitar
ALBA ,5657,678,732,1577,944,1358,57,311
ARAD,2901,424,926,107,740,292,238,174
ARGES,8357,813,2127,2687,1173,1153,78,326
BACAU,12638,2430,757,4106,1270,3662,94,319
BIHOR,4074,1031,796,439,571,658,206,373
BISTRITA-NASAUD,3996,263,347,965,1027,906,273,215
BOTOSANI,4206,193,1232,1005,958,609,113,96
BRAILA,4903,653,1250,1774,559,451,61,155
BRASOV,5729,1197,1490,1643,483,567,46,303
BUZAU,12474,2399,2615,4097,1816,1344,79,124
CALARASI,3799,440,1000,432,1152,539,160,76
CARAS-SEVERIN,3537,539,376,358,886,970,213,195
CLUJ,4720,888,716,1076,675,831,104,430
CONSTANTA,8001,1270,1092,1632,1889,1535,70,513
COVASNA,3104,450,1172,678,315,389,37,63
DAMBOVITA,8023,886,1543,2182,1058,2034,74,246
DOLJ,19728,883,6488,5533,2187,4113,137,387
GALATI,11979,1553,2311,4833,1670,1105,174,333
GIURGIU,1863,264,308,581,142,467,34,67
GORJ,5914,443,363,946,1957,1219,640,346
HARGHITA,5705,1344,1371,1033,644,1001,70,242
HUNEDOARA,5830,488,508,1475,1057,1675,119,508
IALOMITA,5268,433,1195,1810,961,753,58,58
IASI,8982,709,1764,3082,2194,897,68,268
ILFOV,1299,187,291,373,78,275,11,84
MARAMURES,6418,134,2824,1245,732,1071,93,319
MEHEDINTI,7996,0,1722,3870,936,1295,62,111
MUN. BUC.,15710,33,139,2683,2811,5215,289,4540
MURES,7126,1221,2603,1668,701,675,77,181
NEAMT,8267,967,1320,951,3640,878,299,212
OLT,10138,3188,7,36,4952,1024,880,51
PRAHOVA,7727,404,2088,1637,1321,1641,191,445
SALAJ,4602,625,1428,579,1069,535,228,138
SATU M.,3842,471,1736,1002,264,278,12,79
SIBIU,3539,519,963,454,800,422,175,206
SUCEAVA,11867,742,2500,2380,3120,2331,414,380
TELEORMAN,11201,485,1551,5890,1355,1765,67,88
TIMIS,2742,469,271,483,537,540,40,402
TULCEA,3048,0,559,864,1083,516,0,26
VALCEA,4892,160,621,727,1582,1089,409,304
VASLUI,11570,455,2226,1316,6294,729,473,77
VRANCEA,5524,552,1488,707,1644,767,238,128
Total ,288896,31283,56816,70916,59247,49574,7161,13899
