JUDET, Numar total someri , Numar someri femei  , Numar someri barbati  , Nr. total som. indemnizati , Nr. total som. neindemnizati ,Rata somajului (%),Rata somajului Feminin (%),Rata somajului Masculin(%)
ALBA ,5666,2576,3090,1722,3944,3.37,3.37,3.37
ARAD,2914,1451,1463,819,2095,1.37,1.55,1.22
ARGES,8199,3705,4494,1698,6501,3.15,3.07,3.23
BACAU,12639,5169,7470,1832,10807,5.97,5.67,6.2
BIHOR,4346,2201,2145,1388,2958,1.63,1.8,1.48
BISTRITA NASAUD,3768,1984,1784,1645,2123,2.87,3.46,2.41
BOTOSANI,4052,1759,2293,785,3267,2.97,2.74,3.16
BRAILA,4661,1924,2737,657,4004,3.71,3.41,3.96
BRASOV,5820,2683,3137,874,4946,2.23,2.43,2.07
BUZAU,12322,4983,7339,1403,10919,7.12,6.3,7.81
CALARASI,3848,1824,2024,539,3309,4.23,4.28,4.18
CARAS-SEVERIN,3523,1563,1960,1331,2192,3.22,3.2,3.23
CLUJ,4794,2456,2338,1601,3193,1.31,1.53,1.14
CONSTANTA,7660,4726,2934,3528,4132,2.61,3.77,1.75
COVASNA,3093,1401,1692,454,2639,3.6,3.53,3.65
DAMBOVITA,8456,3984,4472,1120,7336,4.42,4.98,4.01
DOLJ,19561,8050,11511,2310,17251,7.36,6.8,7.81
GALATI,12663,5603,7060,1422,11241,6.59,6.52,6.64
GIURGIU,2091,1152,939,431,1660,2.55,3.08,2.11
GORJ,5952,2726,3226,1967,3985,4.38,4.26,4.49
HARGHITA,5575,2519,3056,1411,4164,4.13,4.37,3.96
HUNEDOARA,6046,3198,2848,2818,3228,3.43,3.87,3.03
IALOMITA,5063,2175,2888,929,4134,5.35,5.05,5.61
IASI,9323,4131,5192,966,8357,3.16,3.12,3.2
ILFOV,1295,699,596,317,978,0.67,0.85,0.54
MARAMURES,6448,3210,3238,1352,5096,3.24,3.56,2.98
MEHEDINTI,8044,3441,4603,1414,6630,7.72,7.24,8.12
MUN. BUC.,15776,8529,7247,2027,13749,1.32,1.45,1.19
MURES,7079,2851,4228,1087,5992,3.01,2.82,3.16
NEAMT,8146,3494,4652,1522,6624,4.51,4.32,4.67
OLT,10079,4182,5897,1347,8732,6.23,5.67,6.7
PRAHOVA,7642,3792,3850,2444,5198,2.6,3,2.3
SALAJ,4575,1862,2713,815,3760,4.45,4.03,4.79
SATU M.,3813,1691,2122,446,3367,2.58,2.5,2.65
SIBIU,3525,1636,1889,932,2593,1.79,1.87,1.72
SUCEAVA,11915,5376,6539,3094,8821,5.19,5.21,5.18
TELEORMAN,11644,4581,7063,1445,10199,7.9,6.42,9.29
TIMIS,2767,1471,1296,1387,1380,0.79,0.94,0.67
TULCEA,2801,1283,1518,780,2021,3.31,3.25,3.37
VALCEA,5008,2503,2505,1640,3368,3.13,3.6,2.77
VASLUI,11242,4480,6762,981,10261,8.17,6.86,9.35
VRANCEA,5742,2436,3306,816,4926,4.18,3.78,4.53
Total ,289576,131460,158116,57496,232080,3.32,3.33,3.32
