JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
ALBA,5666,2576,3090,2058,1051,1007,3608,1525,2083
ARAD,2914,1451,1463,979,535,444,1935,916,1019
ARGES,8199,3705,4494,1198,673,525,7001,3032,3969
BACAU,12639,5169,7470,2714,1220,1494,9925,3949,5976
BIHOR,4346,2201,2145,1204,719,485,3142,1482,1660
BISTRITA-NASAUD,3768,1984,1784,1149,705,444,2619,1279,1340
BOTOSANI,4052,1759,2293,1322,629,693,2730,1130,1600
BRASOV,5820,2683,3137,1593,859,734,4227,1824,2403
BRAILA,4661,1924,2737,1186,542,644,3475,1382,2093
BUCURESTI,15776,8529,7247,15776,8529,7247,,,
BUZAU,12322,4983,7339,2117,1038,1079,10205,3945,6260
CARAS-SEVERIN,3523,1563,1960,1438,662,776,2085,901,1184
CALARASI,3848,1824,2024,887,451,436,2961,1373,1588
CLUJ,4794,2456,2338,2079,1271,808,2715,1185,1530
CONSTANTA,7660,4726,2934,3991,2767,1224,3669,1959,1710
COVASNA,3093,1401,1692,885,407,478,2208,994,1214
DAMBOVITA,8456,3984,4472,1323,704,619,7133,3280,3853
DOLJ,19561,8050,11511,2907,1511,1396,16654,6539,10115
GALATI,12663,5603,7060,2578,1466,1112,10085,4137,5948
GIURGIU,2091,1152,939,584,363,221,1507,789,718
GORJ,5952,2726,3226,1846,993,853,4106,1733,2373
HARGHITA,5575,2519,3056,1754,890,864,3821,1629,2192
HUNEDOARA,6046,3198,2848,4148,2244,1904,1898,954,944
IALOMITA,5063,2175,2888,1556,708,848,3507,1467,2040
IASI,9323,4131,5192,1544,808,736,7779,3323,4456
ILFOV,1295,699,596,244,153,91,1051,546,505
MARAMURES,6448,3210,3238,3226,1734,1492,3222,1476,1746
MEHEDINTI,8044,3441,4603,1553,803,750,6491,2638,3853
MURES,7079,2851,4228,1222,643,579,5857,2208,3649
NEAMT,8146,3494,4652,1373,714,659,6773,2780,3993
OLT,10079,4182,5897,2082,1052,1030,7997,3130,4867
PRAHOVA,7642,3792,3850,2455,1355,1100,5187,2437,2750
SATU-MARE,3813,1691,2122,752,375,377,3061,1316,1745
SALAJ,4575,1862,2713,850,439,411,3725,1423,2302
SIBIU,3525,1636,1889,1110,560,550,2415,1076,1339
SUCEAVA,11915,5376,6539,3280,1658,1622,8635,3718,4917
TELEORMAN,11644,4581,7063,2553,1171,1382,9091,3410,5681
TIMIS,2767,1471,1296,1244,718,526,1523,753,770
TULCEA,2801,1283,1518,786,446,340,2015,837,1178
VASLUI,11242,4480,6762,1390,682,708,9852,3798,6054
VALCEA,5008,2503,2505,1718,938,780,3290,1565,1725
VRANCEA,5742,2436,3306,1192,577,615,4550,1859,2691
Total TARA ,289576,131460,158116,85846,45763,40083,203730,85697,118033
