JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant profesional/arte si meserii,invatamant liceal,invatamant posticeal,invatamant universitar
ALBA ,5666,690,770,1583,908,1340,58,317
ARAD,2914,447,936,592,377,361,31,170
ARGES,8199,809,2079,2621,1115,1152,79,344
BACAU,12639,2411,826,4107,1254,3643,85,313
BIHOR,4346,1196,876,561,443,795,79,396
BISTRITA-NASAUD,3768,218,380,1224,673,984,80,209
BOTOSANI,4052,167,1249,1147,680,609,89,111
BRAILA,4661,630,1201,1673,495,458,47,157
BRASOV,5820,1450,1320,1505,634,604,42,265
BUZAU,12322,2374,2577,3964,1987,1219,81,120
CALARASI,3848,476,1011,1196,456,593,36,80
CARAS-SEVERIN,3523,505,382,762,551,1046,70,207
CLUJ,4794,902,381,1201,768,1004,101,437
CONSTANTA,7660,1103,966,1941,1460,1664,84,442
COVASNA,3093,584,1150,571,264,434,27,63
DAMBOVITA,8456,949,1679,2248,1070,2179,80,251
DOLJ,19561,885,6489,5484,2739,3464,128,372
GALATI,12663,1474,2375,4777,1791,1841,74,331
GIURGIU,2091,296,342,655,154,536,34,74
GORJ,5952,446,367,1732,1389,1507,178,333
HARGHITA,5575,1335,1368,969,569,1023,68,243
HUNEDOARA,6046,629,480,1483,1094,1787,94,479
IALOMITA,5063,449,1207,1704,940,664,49,50
IASI,9323,715,1843,3199,2289,917,72,288
ILFOV,1295,180,287,367,76,292,11,82
MARAMURES,6448,140,2856,1184,710,1132,100,326
MEHEDINTI,8044,0,1725,3874,942,1300,76,127
MUN. BUC.,15776,31,138,2690,2832,5232,301,4552
MURES,7079,1220,2541,1602,850,605,73,188
NEAMT,8146,988,1306,2533,2054,949,96,220
OLT,10079,2328,888,3349,2310,1054,97,53
PRAHOVA,7642,418,2231,1703,1108,1646,106,430
SALAJ,4575,640,1457,1112,513,635,65,153
SATU M.,3813,494,1762,966,217,268,15,91
SIBIU,3525,560,991,803,451,463,46,211
SUCEAVA,11915,721,2507,3243,2254,2668,170,352
TELEORMAN,11644,453,1820,6116,1299,1793,70,93
TIMIS,2767,459,265,489,519,558,45,432
TULCEA,2801,0,577,1410,450,340,0,24
VALCEA,5008,155,630,1342,1064,1386,135,296
VASLUI,11242,448,2173,4173,3354,930,73,91
VRANCEA,5742,563,1496,1783,700,970,81,149
Total ,289576,30938,57904,85638,45803,52045,3326,13922
