JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant profesional/arte si meserii,invatamant liceal,invatamant posticeal,invatamant universitar
ALBA ,5656,687,783,1595,907,1310,65,309
ARAD,2929,1072,372,554,234,461,35,201
ARGES,8352,802,2080,2688,1128,1215,84,355
BACAU,12774,2431,815,4140,1286,3685,94,323
BIHOR,4367,1255,929,556,380,752,71,424
BISTRITA-NASAUD,3657,214,362,1233,570,998,71,209
BOTOSANI,4090,163,1246,1147,663,669,65,137
BRAILA,4973,731,1281,1784,503,462,45,167
BRASOV,5983,1543,1435,1521,494,644,45,301
BUZAU,12138,2354,2579,3891,1659,1447,82,126
CALARASI,3867,496,1017,1199,410,631,37,77
CARAS-SEVERIN,3573,511,379,770,487,1126,69,231
CLUJ,4838,887,742,1097,675,880,101,456
CONSTANTA,6758,989,922,1932,825,1609,62,419
COVASNA,2999,554,1082,535,280,451,30,67
DAMBOVITA,8857,1000,1798,2346,1112,2260,84,257
DOLJ,19753,895,6589,5559,2071,4050,126,463
GALATI,12799,1486,2397,4821,1546,2122,75,352
GIURGIU,2107,339,375,603,160,535,31,64
GORJ,5949,455,361,1733,1183,1668,169,380
HARGHITA,5622,1378,1390,972,568,1028,70,216
HUNEDOARA,6268,623,487,1493,1114,1913,116,522
IALOMITA,4988,446,1226,1664,785,750,50,67
IASI,9468,735,1891,3264,2304,915,72,287
ILFOV,1320,191,279,386,78,289,10,87
MARAMURES,6483,145,2707,1280,704,1176,106,365
MEHEDINTI,8150,0,1724,3959,970,1290,72,135
MUN. BUC.,16175,29,144,2687,2944,5413,303,4655
MURES,7033,1213,2469,1532,959,589,70,201
NEAMT,9043,1072,1542,2876,2060,1136,102,255
OLT,9443,2179,860,3105,1421,1671,69,138
PRAHOVA,7944,421,2396,1718,1139,1695,109,466
SALAJ,4515,640,1388,1131,461,702,52,141
SATU M.,3857,511,1797,960,206,260,14,109
SIBIU,3569,581,960,836,392,511,40,249
SUCEAVA,10770,759,1668,2917,2133,2667,212,414
TELEORMAN,11894,514,1797,6184,1196,2019,53,131
TIMIS,2862,348,250,499,619,682,45,419
TULCEA,2631,0,602,1276,263,456,0,34
VALCEA,4655,114,468,1156,863,1585,108,361
VASLUI,11209,468,2167,4126,3096,1173,70,109
VRANCEA,5861,624,1501,1812,607,1084,73,160
Total general,290179,31855,57257,85537,41455,55979,3257,14839
