judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5656,868,336,1072,1496,918,966
ARAD,2929,331,118,418,787,529,746
ARGES,8352,1062,469,1639,2313,1410,1459
BACAU,12774,2164,937,2336,3242,2035,2060
BIHOR,4367,676,284,892,1128,740,647
BISTRITA NASAUD,3657,562,206,660,957,647,625
BOTOSANI,4090,513,165,646,1239,654,873
BRAILA,4973,603,236,886,1481,629,1138
BRASOV,5983,860,451,1336,1441,901,994
BUCURESTI,16175,314,1653,4110,4635,2830,2633
BUZAU,12138,1319,544,2101,3601,1954,2619
CALARASI,3867,478,175,789,1015,605,805
CARAS SEVERIN,3573,481,205,581,1004,646,656
CLUJ,4838,617,296,927,1267,856,875
CONSTANTA,6758,601,279,1216,1883,1307,1472
COVASNA,2999,794,187,578,684,325,431
DAMBOVITA,8857,2055,427,1303,2013,1379,1680
DOLJ,19753,2013,1115,3683,5785,3393,3764
GALATI,12799,2192,427,1813,3642,1830,2895
GIURGIU,2107,402,83,275,489,386,472
GORJ,5949,679,245,929,1623,922,1551
HARGHITA,5622,1181,399,1200,1360,716,766
HUNEDOARA,6268,856,358,1046,1804,1326,878
IALOMITA,4988,592,209,854,1376,898,1059
IASI,9468,978,223,1422,2669,1825,2351
ILFOV,1320,471,57,208,260,142,182
MARAMURES,6483,1130,369,1183,1764,1278,759
MEHEDINTI,8150,594,297,1791,2738,1223,1507
MURES,7033,1075,566,1688,1816,919,969
NEAMT,9043,1035,412,1534,2626,1581,1855
OLT,9443,1050,408,1499,2797,1674,2015
PRAHOVA,7944,1163,344,1356,2204,1262,1615
SALAJ,4515,800,330,906,1123,696,660
SATU-MARE,3857,545,300,951,1053,498,510
SIBIU,3569,354,244,732,891,589,759
SUCEAVA,10770,2428,671,1886,2743,1383,1659
TELEORMAN,11894,1461,713,2301,3260,2056,2103
TIMIS,2862,444,185,462,818,424,529
TULCEA,2631,463,241,483,589,490,365
VALCEA,4655,1109,263,757,1191,772,563
VASLUI,11209,938,367,1946,3781,1987,2190
VRANCEA,5861,859,286,950,1512,990,1264
Total ,290179,39110,16080,53345,80100,47625,53919
