JUDET,Numar total someri,Numar total someri femei ,Numar total someri barbati ,Numar  someri indemnizati ,Numar someri neindemniza?i,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  
ALBA ,5618,2559,3059,1729,3889,3.34,3.35,3.33
ARAD,2912,1420,1492,829,2083,1.36,1.51,1.25
ARGES,8713,3927,4786,1557,7156,3.35,3.25,3.44
BACAU,12800,5123,7677,1761,11039,6.05,5.62,6.37
BIHOR,4213,2125,2088,1419,2794,1.58,1.74,1.44
BISTRITA NASAUD,3712,1912,1800,1460,2252,2.83,3.34,2.43
BOTOSANI,4088,1806,2282,667,3421,2.99,2.82,3.15
BRAILA,5128,2074,3054,483,4645,4.08,3.68,4.41
BRASOV,6068,2700,3368,887,5181,2.32,2.45,2.23
BUZAU,12312,4984,7328,1340,10972,7.11,6.3,7.8
CALARASI,3923,1897,2026,509,3414,4.31,4.45,4.19
CARAS-SEVERIN,3755,1676,2079,1390,2365,3.43,3.43,3.43
CLUJ,4994,2500,2494,1208,3786,1.36,1.56,1.21
CONSTANTA,5633,2953,2680,1683,3950,1.92,2.35,1.6
COVASNA,2965,1315,1650,421,2544,3.45,3.31,3.56
DAMBOVITA,9074,4222,4852,1135,7939,4.74,5.28,4.35
DOLJ,19924,8194,11730,2096,17828,7.5,6.92,7.96
GALATI,13523,5927,7596,1162,12361,7.04,6.9,7.15
GIURGIU,2398,1217,1181,445,1953,2.92,3.25,2.65
GORJ,5892,2668,3224,1967,3925,4.34,4.17,4.49
HARGHITA,5659,2522,3137,1386,4273,4.19,4.37,4.06
HUNEDOARA,6587,3356,3231,3092,3495,3.73,4.06,3.44
IALOMITA,5208,2260,2948,837,4371,5.51,5.24,5.72
IASI,9632,4156,5476,853,8779,3.27,3.14,3.37
ILFOV,1126,617,509,332,794,0.59,0.75,0.46
MARAMURES,6430,3105,3325,1340,5090,3.23,3.45,3.06
MEHEDINTI,8691,3599,5092,1463,7228,8.34,7.58,8.98
MUN. BUC.,17106,8913,8193,2215,14891,1.43,1.51,1.35
MURES,7060,2731,4329,1049,6011,3.01,2.7,3.24
NEAMT,9175,3876,5299,1493,7682,5.08,4.79,5.32
OLT,10252,4156,6096,1065,9187,6.34,5.63,6.93
PRAHOVA,7937,3874,4063,2466,5471,2.7,3.06,2.43
SALAJ,4545,1837,2708,774,3771,4.42,3.98,4.78
SATU M.,3840,1678,2162,419,3421,2.6,2.48,2.7
SIBIU,3521,1625,1896,902,2619,1.78,1.86,1.73
SUCEAVA,12082,5404,6678,2915,9167,5.26,5.24,5.29
TELEORMAN,12268,4952,7316,1541,10727,8.33,6.95,9.63
TIMIS,2798,1525,1273,1519,1279,0.8,0.98,0.66
TULCEA,2521,1145,1376,587,1934,2.98,2.9,3.06
VALCEA,5061,2492,2569,1621,3440,3.16,3.58,2.84
VASLUI,11651,4576,7075,829,10822,8.47,7.01,9.79
VRANCEA,5956,2564,3392,840,5116,4.34,3.98,4.65
Total ,296751,132162,164589,53686,243065,3.4,3.34,3.45
