JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant profesional/arte si meserii,invatamant liceal,invatamant posticeal,invatamant universitar
ALBA ,5618,687,775,1604,915,1289,59,289
ARAD,2912,1083,391,555,219,445,25,194
ARGES,8713,876,2228,2823,1131,1226,77,352
BACAU,12800,1984,2867,2420,2922,2091,125,391
BIHOR,4213,1028,957,534,395,821,76,402
BISTRITA-NASAUD,3712,237,516,1338,584,776,64,197
BOTOSANI,4088,159,1278,1176,585,693,48,149
BRAILA,5128,835,1328,1808,501,437,48,171
BRASOV,6068,1616,1549,1493,452,618,50,290
BUZAU,12312,2393,2817,3933,1606,1349,84,130
CALARASI,3923,513,1058,1283,318,633,48,70
CARAS-SEVERIN,3755,547,629,887,493,905,64,230
CLUJ,4994,918,796,1106,703,918,93,460
CONSTANTA,5633,853,1429,1413,579,942,54,363
COVASNA,2965,533,947,634,263,498,26,64
DAMBOVITA,9074,1030,1862,2423,1119,2299,79,262
DOLJ,19924,897,9029,5699,1811,1965,119,404
GALATI,13523,1613,2661,5214,1202,2467,67,299
GIURGIU,2398,412,457,722,184,523,30,70
GORJ,5892,456,454,1717,1108,1596,172,389
HARGHITA,5659,1340,1416,986,587,1049,59,222
HUNEDOARA,6587,571,558,1543,1137,2066,114,598
IALOMITA,5208,524,1228,1896,696,737,60,67
IASI,9632,753,1917,3342,2348,920,58,294
ILFOV,1126,225,317,187,80,225,10,82
MARAMURES,6430,184,2804,1232,577,1159,104,370
MEHEDINTI,8691,0,1830,4210,1036,1374,82,159
MUN. BUC.,17106,27,118,3028,3075,5567,325,4966
MURES,7060,1177,2260,1503,1244,597,73,206
NEAMT,9175,1087,1674,2888,1387,1807,89,243
OLT,10252,2313,1437,3397,1414,1490,69,132
PRAHOVA,7937,374,2547,1666,1148,1620,100,482
SALAJ,4545,641,1454,1139,443,672,57,139
SATU M.,3840,471,1785,959,220,290,15,100
SIBIU,3521,591,1036,814,388,420,39,233
SUCEAVA,12082,119,430,5966,2471,2557,179,360
TELEORMAN,12268,545,1874,6354,1219,2080,76,120
TIMIS,2798,349,265,503,627,658,40,356
TULCEA,2521,0,833,1048,230,382,0,28
VALCEA,5061,164,594,1298,935,1637,120,313
VASLUI,11651,475,2444,5000,1550,1997,69,116
VRANCEA,5956,631,1758,1877,585,877,76,152
Total ,296751,31231,64607,89618,40487,52672,3222,14914
