JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,218     "," 2,400     "," 2,818     "," 1,602     "," 3,616     ", 3.10     , 3.10     , 3.11     ,
ARAD," 2,610     "," 1,340     "," 1,270     ", 832     ," 1,778     ", 1.22     , 1.40     , 1.07     ,
ARGES," 7,749     "," 3,609     "," 4,140     "," 2,146     "," 5,603     ", 2.98     , 2.94     , 3.03     ,
BACAU," 11,023     "," 4,496     "," 6,527     "," 1,778     "," 9,245     ", 5.20     , 4.93     , 5.40     ,
BIHOR," 3,690     "," 2,058     "," 1,632     "," 1,908     "," 1,782     ", 1.39     , 1.70     , 1.13     ,
BISTRITA NASAUD," 3,329     "," 1,700     "," 1,629     "," 1,563     "," 1,766     ", 2.58     , 2.98     , 2.26     ,
BOTOSANI," 3,571     "," 1,538     "," 2,033     ", 954     ," 2,617     ", 2.62     , 2.34     , 2.88     ,
BRAILA," 4,334     "," 1,748     "," 2,586     ", 649     ," 3,685     ", 3.52     , 3.16     , 3.83     ,
BRASOV," 5,233     "," 2,328     "," 2,905     ", 972     ," 4,261     ", 1.99     , 2.11     , 1.90     ,
BUZAU," 11,296     "," 4,634     "," 6,662     "," 1,375     "," 9,921     ", 6.58     , 5.81     , 7.25     ,
CALARASI," 3,242     "," 1,551     "," 1,691     ", 557     ," 2,685     ", 3.57     , 3.50     , 3.64     ,
CARA?-SEVERIN," 3,345     "," 1,512     "," 1,833     "," 1,055     "," 2,290     ", 3.13     , 3.26     , 3.03     ,
CLUJ," 4,483     "," 2,392     "," 2,091     "," 1,476     "," 3,007     ", 1.22     , 1.49     , 1.02     ,
CONSTANTA," 7,471     "," 4,697     "," 2,774     "," 3,556     "," 3,915     ", 2.56     , 3.74     , 1.66     ,
COVASNA," 2,852     "," 1,291     "," 1,561     ", 540     ," 2,312     ", 3.34     , 3.27     , 3.40     ,
DAMBOVITA," 6,624     "," 3,215     "," 3,409     "," 1,072     "," 5,552     ", 3.45     , 3.94     , 3.09     ,
DOLJ," 17,945     "," 7,524     "," 10,421     "," 2,294     "," 15,651     ", 6.74     , 6.34     , 7.07     ,
GALATI," 10,578     "," 4,524     "," 6,054     "," 1,433     "," 9,145     ", 5.56     , 5.21     , 5.85     ,
GIURGIU," 1,645     ", 870     , 775     , 441     ," 1,204     ", 2.02     , 2.30     , 1.79     ,
GORJ," 4,735     "," 2,244     "," 2,491     "," 1,599     "," 3,136     ", 3.49     , 3.64     , 3.36     ,
HARGHITA," 5,146     "," 2,311     "," 2,835     "," 1,275     "," 3,871     ", 3.82     , 3.90     , 3.76     ,
HUNEDOARA," 5,157     "," 2,714     "," 2,443     "," 2,368     "," 2,789     ", 2.99     , 3.31     , 2.71     ,
IALOMITA," 4,231     "," 1,857     "," 2,374     ", 992     ," 3,239     ", 4.53     , 4.33     , 4.69     ,
IASI," 8,035     "," 3,632     "," 4,403     ", 962     ," 7,073     ", 2.71     , 2.66     , 2.75     ,
ILFOV, 776     , 444     , 332     , 324     , 452     , 0.39     , 0.51     , 0.29     ,
MARAMURES," 5,185     "," 2,555     "," 2,630     "," 1,374     "," 3,811     ", 2.58     , 2.77     , 2.42     ,
MEHEDINTI," 6,929     "," 2,981     "," 3,948     "," 1,118     "," 5,811     ", 6.68     , 6.11     , 7.19     ,
MUN. BUC.," 15,248     "," 8,120     "," 7,128     "," 1,784     "," 13,464     ", 1.28     , 1.37     , 1.19     ,
MURES," 6,372     "," 2,832     "," 3,540     "," 1,105     "," 5,267     ", 2.71     , 2.74     , 2.69     ,
NEAMT," 7,346     "," 3,135     "," 4,211     "," 1,617     "," 5,729     ", 4.05     , 3.79     , 4.27     ,
OLT," 8,855     "," 3,854     "," 5,001     "," 1,685     "," 7,170     ", 5.47     , 5.18     , 5.72     ,
PRAHOVA," 7,118     "," 3,521     "," 3,597     "," 2,678     "," 4,440     ", 2.43     , 2.84     , 2.13     ,
SALAJ," 4,339     "," 1,862     "," 2,477     ", 906     ," 3,433     ", 4.23     , 4.16     , 4.29     ,
SATU M.," 3,631     "," 1,599     "," 2,032     ", 490     ," 3,141     ", 2.48     , 2.39     , 2.55     ,
SIBIU," 3,456     "," 1,594     "," 1,862     ", 959     ," 2,497     ", 1.76     , 1.83     , 1.70     ,
SUCEAVA," 11,031     "," 4,931     "," 6,100     "," 3,360     "," 7,671     ", 4.76     , 4.69     , 4.83     ,
TELEORMAN," 8,825     "," 3,722     "," 5,103     "," 1,389     "," 7,436     ", 6.15     , 5.29     , 6.96     ,
TIMIS," 2,775     "," 1,503     "," 1,272     "," 1,475     "," 1,300     ", 0.79     , 0.98     , 0.64     ,
TULCEA," 2,906     "," 1,397     "," 1,509     ", 804     ," 2,102     ", 3.54     , 3.66     , 3.43     ,
VALCEA," 4,560     "," 2,229     "," 2,331     "," 1,847     "," 2,713     ", 2.86     , 3.16     , 2.62     ,
VASLUI," 10,024     "," 4,058     "," 5,966     "," 1,166     "," 8,858     ", 7.44     , 6.33     , 8.45     ,
VRANCEA," 4,947     "," 2,104     "," 2,843     ", 856     ," 4,091     ", 3.64     , 3.34     , 3.89     ,
Total ," 257,865     "," 118,626     "," 139,239     "," 58,336     "," 199,529     ", 2.97     , 2.99     , 2.94     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
