JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5673,677,848,1605,1255,124,889,275
ARAD,2937,465,882,620,651,41,97,181
ARGES,8391,803,2096,2714,1125,93,1215,345
BACAU,12574,2300,1167,4122,3184,79,1442,280
BIHOR,3227,660,487,519,661,69,432,399
BISTRITA,4060,240,356,1337,1010,84,814,219
BOTOSANI,4331,170,1249,1273,686,85,738,130
BRAILA,5359,808,1304,1965,494,60,577,151
BRASOV,5967,1476,1314,1540,694,59,602,282
BUZAU,12298,2444,2618,4105,1129,67,1814,121
CALARASI,3889,476,1004,1277,735,38,282,77
CARAS,3523,574,383,800,895,77,604,190
CLUJ,4751,932,627,1088,840,101,715,448
CONSTANTA,8122,954,1169,2443,1715,91,1283,467
COVASNA,3091,550,1212,673,310,41,233,72
DAMBOVITA,7161,783,1403,2071,1684,65,936,219
DOLJ,20178,936,6754,5629,3263,114,3081,401
GALATI,11718,1548,2327,4897,1415,157,1065,309
GIURGIU,1941,261,308,645,463,30,163,71
GORJ,5814,464,363,1665,1939,167,884,332
HARGHITA,5625,1327,1365,1088,878,72,679,216
HUNEDOARA,6340,647,475,1778,1651,123,1132,534
IALOMITA,5262,452,1173,1822,995,49,714,57
IASI,8860,698,1825,3146,643,65,2214,269
ILFOV,1065,138,322,245,190,9,77,84
MARAMURES,6336,158,2936,1231,965,107,621,318
MEHEDINTI,7821,0,1669,3763,1295,57,918,119
MUN. BUC.,15661,36,136,2682,5298,295,2794,4420
MURES,6857,1227,2500,1603,574,76,710,167
NEAMT,8428,988,1398,2620,1634,106,1453,229
OLT,9976,2304,872,3358,2526,96,782,38
PRAHOVA,7308,558,1785,1732,1363,157,1270,443
SALAJ,4755,640,1426,1215,879,73,359,163
SATU M.,3919,488,1780,1034,248,11,283,75
SIBIU,3695,528,1009,862,625,47,383,241
SUCEAVA,11941,840,2500,3536,1948,228,2492,397
TELEORMAN,11289,528,1393,5841,1972,69,1432,54
TIMIS,2781,444,259,522,569,43,534,410
TULCEA,3250,0,575,1704,680,0,263,28
VALCEA,5270,243,571,1457,1680,178,795,346
VASLUI,11584,462,2243,4411,1953,66,2365,84
VRANCEA,5540,494,1534,1885,808,68,619,132
Total general,288568,30721,57617,88523,53522,3637,40755,13793
