judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5673,588,345,1098,1599,985,1058
ARAD,2937,302,131,457,771,563,713
ARGES,8391,803,473,1674,2386,1521,1534
BACAU,12574,1092,1497,2412,2925,2284,2364
BIHOR,3227,303,180,610,895,676,563
BISTRITA NASAUD,4060,494,222,760,1082,797,705
BOTOSANI,4331,375,176,654,1335,771,1020
BRAILA,5359,596,280,931,1658,721,1173
BRASOV,5967,654,426,1374,1459,992,1062
BUZAU,12298,843,527,2181,3749,2188,2810
CALARASI,3889,455,185,783,1050,641,775
CARAS-SEVERIN,3523,315,170,606,990,698,744
CLUJ,4751,520,311,938,1291,840,851
CONSTANTA,8122,605,337,1435,2321,1723,1701
COVASNA,3091,547,222,684,783,405,450
DAMBOVITA,7161,1207,326,1045,1688,1267,1628
DOLJ,20178,1692,1125,3689,6046,3677,3949
GALATI,11718,717,413,1831,3728,2302,2727
GIURGIU,1941,252,99,336,479,377,398
GORJ,5814,565,265,938,1637,958,1451
HARGHITA,5625,803,408,1263,1504,813,834
HUNEDOARA,6340,550,323,1086,2195,1154,1032
IALOMITA,5262,400,214,885,1615,1009,1139
IASI,8860,694,228,1322,2544,1753,2319
ILFOV,1065,222,49,193,286,137,178
MARAMURES,6336,1090,449,1218,1698,1000,881
MEHEDINTI,7821,512,272,1756,2684,1194,1403
MUNICIPIUL BUCURESTI,15661,207,1375,3944,4568,2849,2718
MURES,6857,1004,529,1637,1817,940,930
NEAMT,8428,805,409,1445,2471,1581,1717
OLT,9976,845,435,1678,3015,1826,2177
PRAHOVA,7308,655,325,1292,2218,1249,1569
SALAJ,4755,716,364,986,1219,760,710
SATU-MARE,3919,462,269,976,1136,541,535
SIBIU,3695,397,252,735,984,594,733
SUCEAVA,11941,1687,831,2299,3338,1712,2074
TELEORMAN,11289,847,594,1987,3222,2269,2370
TIMIS,2781,237,105,541,887,475,536
TULCEA,3250,496,200,521,783,635,615
VALCEA,5270,476,278,979,1571,1100,866
VASLUI ,11584,593,342,1965,4051,2240,2393
VRANCEA,5540,548,292,906,1490,1024,1280
TOTAL,288568,27171,16253,54050,83168,51241,56685
