JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4746,632,676,1461,953,37,749,238
ARAD,3112,377,582,488,1252,22,206,185
ARGES,7623,692,1826,2366,1336,80,1028,295
BACAU,10925,1664,1196,3751,1076,57,1090,2091
BIHOR,3456,520,611,633,890,50,393,359
BISTRITA,3180,183,291,1023,716,45,514,408
BOTOSANI,3893,155,1044,1029,876,51,550,188
BRAILA,4537,721,1080,1639,459,41,436,161
BRASOV,5765,1079,1386,1459,1063,54,449,275
BUZAU,11640,2229,2350,3742,1689,54,1447,129
CALARASI,3338,377,883,1061,609,26,328,54
CARAS,3266,549,390,685,991,61,400,190
CLUJ,4649,934,569,1018,939,98,676,415
CONSTANTA,5552,1016,746,1342,1545,43,488,372
COVASNA,2738,438,949,538,572,27,163,51
DAMBOVITA,6810,671,1211,1997,1854,47,803,227
DOLJ,18238,853,5972,5062,4058,82,1837,374
GALATI,11127,1428,2111,4378,1428,100,1372,310
GIURGIU,1855,235,246,558,619,7,120,70
GORJ,4778,297,292,1322,1602,99,849,317
HARGHITA,5051,1195,1232,913,1024,48,472,167
HUNEDOARA,5787,514,508,1568,1418,118,1132,529
IALOMITA,4506,398,1081,1496,758,35,669,69
IASI,8387,630,1641,2850,1050,45,1875,296
ILFOV,874,109,265,142,217,6,63,72
MARAMURES,6440,150,2860,988,1436,79,630,297
MEHEDINTI,6532,0,1455,3165,997,25,809,81
MUN. BUC.,15502,26,132,2632,5341,291,2764,4316
MURES,5917,1057,2126,1354,639,51,523,167
NEAMT,7779,1117,1192,2353,1031,78,1673,335
OLT,8746,1794,802,2932,1785,46,1318,69
PRAHOVA,6424,627,1214,1780,1296,72,1030,405
SALAJ,4449,605,1264,1059,831,32,466,192
SATU M.,3357,376,1613,875,225,11,172,85
SIBIU,3246,423,847,803,461,29,358,325
SUCEAVA,11596,684,2138,2950,2952,182,1877,813
TELEORMAN,9770,424,1210,5324,1372,36,1300,104
TIMIS,2944,386,168,647,801,41,506,395
TULCEA,2534,0,734,863,554,0,325,58
VALCEA,5167,251,480,1296,1732,83,989,336
VASLUI,10460,430,2050,3966,994,46,2899,75
VRANCEA,5348,0,1924,1727,1018,44,494,141
Total general,262044,26246,51347,77235,52459,2479,36242,16036
