JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL 
 ALBA,4721,2094,2627,1647,836,811,3074,1258,1816
 ARAD,2288,1144,1144,783,413,370,1505,731,774
 ARGES,7362,3458,3904,1135,645,490,6227,2813,3414
 BACAU,10830,4308,6522,2364,962,1402,8466,3346,5120
 BIHOR,3316,1748,1568,1115,670,445,2201,1078,1123
 BISTRITA-NASAUD,3339,1665,1674,1141,673,468,2198,992,1206
 BOTOSANI,3616,1584,2032,1223,573,650,2393,1011,1382
 BRAILA,4506,1815,2691,1087,512,575,3419,1303,2116
 BRASOV,5401,2433,2968,1534,813,721,3867,1620,2247
 BUZAU,11303,4506,6797,1872,944,928,9431,3562,5869
 CALARASI,3273,1548,1725,663,328,335,2610,1220,1390
 CARAS-SEVERIN,3080,1372,1708,1215,566,649,1865,806,1059
 CLUJ,4637,2330,2307,1938,1147,791,2699,1183,1516
 CONSTANTA,5514,2954,2560,2672,1640,1032,2842,1314,1528
 COVASNA,2577,1141,1436,685,347,338,1892,794,1098
 DAMBOVITA,6573,3100,3473,1075,580,495,5498,2520,2978
 DOLJ,18523,7618,10905,2626,1402,1224,15897,6216,9681
 GALATI,10532,4480,6052,1673,930,743,8859,3550,5309
 GIURGIU,1711,976,735,466,311,155,1245,665,580
 GORJ,4839,2220,2619,1401,768,633,3438,1452,1986
 HARGHITA,4804,2109,2695,1387,707,680,3417,1402,2015
 HUNEDOARA,5775,2979,2796,3841,2015,1826,1934,964,970
 IALOMITA,4626,2067,2559,1437,702,735,3189,1365,1824
 IASI,8313,3632,4681,1221,636,585,7092,2996,4096
 ILFOV,866,463,403,166,99,67,700,364,336
 MARAMURES,6181,2998,3183,3055,1513,1542,3126,1485,1641
 MEHEDINTI,7011,2855,4156,1260,588,672,5751,2267,3484
 MURES,6009,2620,3389,1056,562,494,4953,2058,2895
 NEAMT,6876,2928,3948,1155,582,573,5721,2346,3375
 OLT,8541,3577,4964,1685,855,830,6856,2722,4134
 PRAHOVA,6491,3110,3381,2040,1085,955,4451,2025,2426
 SALAJ,4166,1736,2430,813,442,371,3353,1294,2059
 SATU MARE,3445,1529,1916,656,344,312,2789,1185,1604
 SIBIU,3280,1522,1758,1068,521,547,2212,1001,1211
 SUCEAVA,10017,4277,5740,2608,1308,1300,7409,2969,4440
 TELEORMAN,9602,4024,5578,2165,1092,1073,7437,2932,4505
 TIMIS,2717,1445,1272,1299,715,584,1418,730,688
 TULCEA,2478,1181,1297,636,364,272,1842,817,1025
 VALCEA,4587,2160,2427,1560,798,762,3027,1362,1665
 VASLUI,10333,4123,6210,1170,578,592,9163,3545,5618
 VRANCEA,5013,2159,2854,951,457,494,4062,1702,2360
BUCURESTI,15559,8319,7240,15559,8319,7240,0,0,0
Total TARA ,254631,114307,140324,75103,39342,35761,179528,74965,104563
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
