judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani,,,
ALBA,4721,396,271,941,1343,861,909,,,
ARAD,2288,231,115,303,609,455,575,,,
ARGES,7362,589,410,1414,2084,1405,1460,,,
BACAU,10830,874,791,2053,2886,2116,2110,,,
BIHOR,3316,243,186,624,920,709,634,,,
BISTRITA NASAUD,3339,330,177,611,898,705,618,,,
BOTOSANI,3616,223,142,564,1112,661,914,,,
BRAILA,4506,408,231,814,1355,629,1069,,,
BRASOV,5401,487,378,1209,1355,937,1035,,,
BUZAU,11303,666,465,2012,3421,2099,2640,,,
CALARASI,3273,359,156,649,863,568,678,,,
CARAS-SEVERIN,3080,237,173,494,868,618,690,,,
CLUJ,4637,409,293,873,1341,870,851,,,
CONSTANTA,5514,423,259,1045,1497,1041,1249,,,
COVASNA,2577,372,196,566,668,341,434,,,
DAMBOVITA,6573,1120,284,941,1539,1167,1522,,,
DOLJ,18523,1421,1011,3314,5609,3492,3676,,,
GALATI,10532,587,365,1599,3348,2122,2511,,,
GIURGIU,1711,194,95,276,384,350,412,,,
GORJ,4839,382,184,761,1358,836,1318,,,
HARGHITA,4804,606,329,1092,1318,692,767,,,
HUNEDOARA,5775,460,301,1085,1847,1051,1031,,,
IALOMITA,4626,356,193,787,1378,879,1033,,,
IASI,8313,535,214,1232,2390,1735,2207,,,
ILFOV,866,95,43,177,254,131,166,,,
MARAMURES,6181,954,455,1211,1687,999,875,,,
MEHEDINTI,7011,282,198,1630,2564,1078,1259,,,
MUNICIPIUL BUCURESTI,15559,138,1357,3926,4584,2857,2697,,,
MURES,6009,765,373,1471,1642,873,885,,,
NEAMT,6876,629,353,1178,1990,1300,1426,,,
OLT,8541,539,342,1351,2634,1692,1983,,,
PRAHOVA,6491,457,257,1133,1987,1361,1296,,,
SALAJ,4166,517,291,904,1080,718,656,,,
SATU-MARE,3445,396,226,871,967,473,512,,,
SIBIU,3280,327,187,640,895,544,687,,,
SUCEAVA,10017,1175,667,1970,2858,1521,1826,,,
TELEORMAN,9602,648,508,1665,2724,1954,2103,,,
TIMIS,2717,255,151,498,756,508,549,,,
TULCEA,2478,399,121,413,625,464,456,,,
VALCEA,4587,358,224,835,1406,1012,752,,,
VASLUI ,10333,424,309,1757,3576,2079,2188,,,
VRANCEA,5013,456,257,846,1319,960,1175,,,
TOTAL,254631,20722,13538,47735,73939,46863,51834,,,
