JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4721,658,732,1499,807,39,767,219
ARAD,2288,344,617,529,402,24,220,152
ARGES,7362,697,1852,2430,980,74,1045,284
BACAU,10830,1824,1345,1532,3224,61,2616,228
BIHOR,3316,437,662,656,696,64,427,374
BISTRITA,3339,170,327,931,1109,59,555,188
BOTOSANI,3616,193,1102,1072,502,43,589,115
BRAILA,4506,720,1124,1684,354,38,438,148
BRASOV,5401,1291,1259,584,1370,54,580,263
BUZAU,11303,2229,2434,3857,1037,56,1581,109
CALARASI,3273,385,893,1105,488,22,327,53
CARAS,3080,556,368,691,850,59,390,166
CLUJ,4637,926,688,1044,762,93,707,417
CONSTANTA,5514,881,771,1288,1612,59,519,384
COVASNA,2577,475,1047,569,237,30,170,49
DAMBOVITA,6573,696,1196,2010,1597,47,811,216
DOLJ,18523,886,6281,5190,3799,95,1942,330
GALATI,10532,1439,2163,4500,673,102,1374,281
GIURGIU,1711,253,284,581,376,10,136,71
GORJ,4839,359,315,1500,1297,119,943,306
HARGHITA,4804,1243,1295,913,661,44,488,160
HUNEDOARA,5775,514,508,1568,1405,118,1132,530
IALOMITA,4626,440,1121,1587,645,47,732,54
IASI,8313,674,1735,2961,583,57,2000,303
ILFOV,866,121,310,151,137,4,64,79
MARAMURES,6181,145,2970,1217,856,86,617,290
MEHEDINTI,7011,0,1537,3472,1047,32,831,92
MUN. BUC.,15559,25,135,2644,5278,294,2804,4379
MURES,6009,1182,2151,1430,488,57,561,140
NEAMT,6876,932,1104,2134,813,53,1668,172
OLT,8541,1887,826,3028,1371,62,1335,32
PRAHOVA,6491,610,1402,1490,1369,119,1126,375
SALAJ,4166,631,1280,1083,718,38,269,147
SATU M.,3445,410,1685,886,193,7,197,67
SIBIU,3280,469,883,817,486,37,391,197
SUCEAVA,10017,651,2203,2291,2515,156,1868,333
TELEORMAN,9602,445,1178,5328,1378,37,1191,45
TIMIS,2717,383,317,579,535,38,485,380
TULCEA,2478,0,473,1272,437,0,264,32
VALCEA,4587,260,481,1271,1054,89,1110,322
VASLUI,10333,425,2026,3983,848,49,2943,59
VRANCEA,5013,413,1403,1759,746,45,518,129
Total general,254631,27279,52483,75116,45735,2617,38731,12670
