JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,064     "," 2,364     "," 2,700     "," 1,419     "," 3,645     ", 3.01     , 3.05     , 2.98     ,
ARAD," 3,193     "," 1,685     "," 1,508     ", 727     ," 2,466     ", 3.01     , 3.05     , 2.98     ,
ARGES," 7,544     "," 3,563     "," 3,981     "," 1,950     "," 5,594     ", 3.01     , 3.05     , 2.98     ,
BACAU," 10,808     "," 4,456     "," 6,352     "," 1,647     "," 9,161     ", 3.01     , 3.05     , 2.98     ,
BIHOR," 3,330     "," 1,815     "," 1,515     "," 1,451     "," 1,879     ", 3.01     , 3.05     , 2.98     ,
BISTRITA NASAUD," 3,337     "," 1,763     "," 1,574     "," 1,338     "," 1,999     ", 3.01     , 3.05     , 2.98     ,
BOTOSANI," 3,633     "," 1,685     "," 1,948     ", 793     ," 2,840     ", 3.01     , 3.05     , 2.98     ,
BRAILA," 4,299     "," 1,774     "," 2,525     ", 488     ," 3,811     ", 3.01     , 3.05     , 2.98     ,
BRASOV," 5,631     "," 2,597     "," 3,034     ", 903     ," 4,728     ", 3.01     , 3.05     , 2.98     ,
BUZAU," 11,532     "," 4,860     "," 6,672     "," 1,219     "," 10,313     ", 3.01     , 3.05     , 2.98     ,
CALARASI," 3,309     "," 1,605     "," 1,704     ", 493     ," 2,816     ", 3.01     , 3.05     , 2.98     ,
CARA?-SEVERIN," 3,389     "," 1,563     "," 1,826     "," 1,027     "," 2,362     ", 3.01     , 3.05     , 2.98     ,
CLUJ," 4,599     "," 2,470     "," 2,129     "," 1,337     "," 3,262     ", 3.01     , 3.05     , 2.98     ,
CONSTANTA," 6,836     "," 4,098     "," 2,738     "," 2,516     "," 4,320     ", 3.01     , 3.05     , 2.98     ,
COVASNA," 2,829     "," 1,302     "," 1,527     ", 507     ," 2,322     ", 3.01     , 3.05     , 2.98     ,
DAMBOVITA," 6,676     "," 3,250     "," 3,426     ", 984     ," 5,692     ", 3.01     , 3.05     , 2.98     ,
DOLJ," 17,887     "," 7,520     "," 10,367     "," 2,049     "," 15,838     ", 3.01     , 3.05     , 2.98     ,
GALATI," 10,624     "," 4,708     "," 5,916     "," 1,177     "," 9,447     ", 3.01     , 3.05     , 2.98     ,
GIURGIU," 1,720     ", 949     , 771     , 445     ," 1,275     ", 3.01     , 3.05     , 2.98     ,
GORJ," 4,721     "," 2,292     "," 2,429     "," 1,417     "," 3,304     ", 3.01     , 3.05     , 2.98     ,
HARGHITA," 5,111     "," 2,345     "," 2,766     "," 1,141     "," 3,970     ", 3.01     , 3.05     , 2.98     ,
HUNEDOARA," 5,040     "," 2,689     "," 2,351     "," 2,450     "," 2,590     ", 3.01     , 3.05     , 2.98     ,
IALOMITA," 4,023     "," 1,840     "," 2,183     ", 707     ," 3,316     ", 3.01     , 3.05     , 2.98     ,
IASI," 8,553     "," 3,934     "," 4,619     ", 991     ," 7,562     ", 3.01     , 3.05     , 2.98     ,
ILFOV, 850     , 471     , 379     , 315     , 535     , 3.01     , 3.05     , 2.98     ,
MARAMURES," 5,528     "," 2,852     "," 2,676     "," 1,328     "," 4,200     ", 3.01     , 3.05     , 2.98     ,
MEHEDINTI," 6,786     "," 2,926     "," 3,860     ", 990     ," 5,796     ", 3.01     , 3.05     , 2.98     ,
MUN. BUC.," 15,394     "," 8,225     "," 7,169     "," 1,874     "," 13,520     ", 3.01     , 3.05     , 2.98     ,
MURES," 6,248     "," 2,832     "," 3,416     ", 979     ," 5,269     ", 3.01     , 3.05     , 2.98     ,
NEAMT," 7,367     "," 3,247     "," 4,120     "," 1,336     "," 6,031     ", 3.01     , 3.05     , 2.98     ,
OLT," 8,738     "," 3,838     "," 4,900     "," 1,140     "," 7,598     ", 3.01     , 3.05     , 2.98     ,
PRAHOVA," 6,914     "," 3,389     "," 3,525     "," 2,274     "," 4,640     ", 3.01     , 3.05     , 2.98     ,
SALAJ," 4,186     "," 1,848     "," 2,338     ", 790     ," 3,396     ", 3.01     , 3.05     , 2.98     ,
SATU M.," 3,446     "," 1,568     "," 1,878     ", 379     ," 3,067     ", 3.01     , 3.05     , 2.98     ,
SIBIU," 3,399     "," 1,653     "," 1,746     ", 909     ," 2,490     ", 3.01     , 3.05     , 2.98     ,
SUCEAVA," 11,193     "," 5,284     "," 5,909     "," 2,776     "," 8,417     ", 3.01     , 3.05     , 2.98     ,
TELEORMAN," 9,078     "," 3,880     "," 5,198     "," 1,276     "," 7,802     ", 3.01     , 3.05     , 2.98     ,
TIMIS," 2,925     "," 1,635     "," 1,290     "," 1,676     "," 1,249     ", 3.01     , 3.05     , 2.98     ,
TULCEA," 2,654     "," 1,341     "," 1,313     ", 545     ," 2,109     ", 3.01     , 3.05     , 2.98     ,
VALCEA," 5,189     "," 2,564     "," 2,625     "," 1,758     "," 3,431     ", 3.01     , 3.05     , 2.98     ,
VASLUI," 9,913     "," 4,142     "," 5,771     ", 972     ," 8,941     ", 3.01     , 3.05     , 2.98     ,
VRANCEA," 5,241     "," 2,368     "," 2,873     ", 774     ," 4,467     ", 3.01     , 3.05     , 2.98     ,
Total ," 258,737     "," 121,190     "," 137,547     "," 51,267     "," 207,470     ", 3.01     , 3.05     , 2.98     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
