JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5064,638,725,1467,1050,58,834,292
ARAD,3193,342,543,522,1281,26,272,207
ARGES,7544,648,1738,2293,1340,98,1069,358
BACAU,10808,1605,1195,3610,2769,92,1218,319
BIHOR,3330,181,541,610,1036,78,450,434
BISTRITA,3337,181,286,978,1031,59,564,238
BOTOSANI,3633,167,953,967,713,84,592,157
BRAILA,4299,702,1063,1497,414,50,434,139
BRASOV,5631,1080,1272,1300,1004,61,591,323
BUZAU,11532,2237,2359,3660,1521,72,1532,151
CALARASI,3309,366,838,1023,638,31,359,54
CARAS,3389,534,398,716,1012,64,437,228
CLUJ,4599,853,491,973,991,118,723,450
CONSTANTA,6836,919,663,1623,2171,112,930,418
COVASNA,2829,433,966,566,523,24,239,78
DAMBOVITA,6676,799,930,1967,1600,139,924,317
DOLJ,17887,837,5826,4897,3866,122,1877,462
GALATI,10624,985,1962,4063,1733,109,1388,384
GIURGIU,1720,226,259,571,475,9,128,52
GORJ,4721,265,275,1388,1402,144,922,325
HARGHITA,5111,1210,1210,911,955,78,519,228
HUNEDOARA,5040,380,410,1154,1468,118,981,529
IALOMITA,4023,269,984,1321,709,41,628,71
IASI,8553,599,1563,2703,997,84,2256,351
ILFOV,850,94,231,141,241,3,68,72
MARAMURES,5528,117,1832,851,1522,137,652,417
MEHEDINTI,6786,0,1471,3255,1088,60,804,108
MUN. BUC.,15394,25,135,2645,5248,283,2773,4285
MURES,6248,1103,2143,1394,625,74,668,241
NEAMT,7367,958,1144,2261,1045,94,1610,255
OLT,8738,1776,726,2784,1853,69,1388,142
PRAHOVA,6914,650,1305,1819,1455,108,1130,447
SALAJ,4186,272,1063,1021,1102,58,459,211
SATU M.,3446,388,1648,856,255,17,193,89
SIBIU,3399,358,942,802,601,41,396,259
SUCEAVA,11193,475,2239,2778,3187,191,1968,355
TELEORMAN,9078,378,1052,4825,1443,35,1237,108
TIMIS,2925,317,140,581,952,54,434,447
TULCEA,2654,0,437,1256,554,0,347,60
VALCEA,5189,196,497,1321,1694,144,943,394
VASLUI,9913,407,1870,3651,987,45,2881,72
VRANCEA,5241,355,1326,1723,1092,72,522,151
Total general,258737,24325,47651,74744,55643,3356,38340,14678
