JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,4968,186,863,1415,1137,87,962,318
ARAD,2478,297,264,613,605,57,354,288
ARGES,8079,532,1540,2478,1559,122,1380,468
BACAU,10857,1701,739,3403,2708,103,1840,363
BIHOR,4316,215,621,993,1157,90,721,519
BISTRITA,3295,171,224,1018,1014,62,611,195
BOTOSANI,3156,180,1025,766,557,52,467,109
BRAILA,4475,741,1080,1526,419,59,485,165
BRASOV,5477,979,1181,1311,844,76,637,449
BUZAU,11242,2221,2328,3712,1161,70,1606,144
CALARASI,2829,326,684,910,432,30,383,64
CARAS,2984,463,317,558,881,59,467,239
CLUJ,4786,628,427,1088,1250,116,796,481
CONSTANTA,6458,763,443,1725,1810,89,1119,509
COVASNA,2880,478,1042,644,353,36,275,52
DAMBOVITA,6035,614,833,1913,1289,99,955,332
DOLJ,18140,840,5950,4864,3737,159,2080,510
GALATI,10350,1050,1945,4152,1185,103,1555,360
GIURGIU,1763,233,286,638,376,20,148,62
GORJ,4069,223,222,1125,1231,117,798,353
HARGHITA,5087,1242,1173,1006,794,77,606,189
HUNEDOARA,6220,305,476,1594,1935,101,1254,555
IALOMITA,3782,241,920,1267,642,36,611,65
IASI,7909,552,1539,2674,636,69,2095,344
ILFOV,657,77,194,124,128,8,64,62
MARAMURES,4216,74,1263,788,979,108,722,282
MEHEDINTI,6069,0,1212,2725,1150,47,819,116
MUN. BUC.,15186,21,146,2574,5264,304,2733,4144
MURES,5782,866,1894,1345,650,95,725,207
NEAMT,7269,796,934,2037,1207,106,1912,277
OLT,8573,1937,702,2740,1521,69,1494,110
PRAHOVA,7223,542,1067,1922,1607,123,1476,486
SALAJ,4344,295,1103,1202,982,56,524,182
SATU M.,4172,666,1463,1154,424,29,336,100
SIBIU,4087,404,1084,930,697,65,584,323
SUCEAVA,10280,538,1800,3278,1987,168,2140,369
TELEORMAN,8808,404,1032,4706,1004,42,1523,97
TIMIS,2763,305,215,504,661,61,595,422
TULCEA,2715,0,421,1219,581,0,424,70
VALCEA,4967,116,477,1390,1401,131,1089,363
VASLUI,8421,291,1376,3135,879,53,2612,75
VRANCEA,4777,275,1167,1785,781,75,560,134
Total general,251944,22788,43672,74951,49615,3429,42537,14952
