JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,590     "," 2,738     "," 2,852     "," 2,992     "," 2,598     ", 3.32     , 3.53     , 3.14     ,
ARAD," 4,798     "," 2,782     "," 2,016     "," 2,867     "," 1,931     ", 2.24     , 2.90     , 1.70     ,
ARGES," 10,508     "," 5,499     "," 5,009     "," 4,793     "," 5,715     ", 4.05     , 4.48     , 3.66     ,
BACAU," 10,881     "," 4,703     "," 6,178     "," 2,835     "," 8,046     ", 5.13     , 5.16     , 5.11     ,
BIHOR," 5,349     "," 3,216     "," 2,133     "," 3,393     "," 1,956     ", 2.01     , 2.65     , 1.48     ,
BISTRITA NASAUD," 3,998     "," 2,271     "," 1,727     "," 2,259     "," 1,739     ", 3.10     , 3.98     , 2.40     ,
BOTOSANI," 3,991     "," 1,987     "," 2,004     "," 1,245     "," 2,746     ", 2.93     , 3.02     , 2.83     ,
BRAILA," 4,901     "," 2,156     "," 2,745     ", 997     ," 3,904     ", 3.98     , 3.89     , 4.06     ,
BRASOV," 6,581     "," 3,226     "," 3,355     "," 2,287     "," 4,294     ", 2.50     , 2.92     , 2.20     ,
BUZAU," 12,280     "," 5,241     "," 7,039     "," 2,183     "," 10,097     ", 7.15     , 6.57     , 7.66     ,
CALARASI," 3,765     "," 1,985     "," 1,780     "," 1,036     "," 2,729     ", 4.15     , 4.48     , 3.83     ,
CARA?-SEVERIN," 3,915     "," 1,824     "," 2,091     "," 1,658     "," 2,257     ", 3.67     , 3.93     , 3.46     ,
CLUJ," 6,652     "," 3,728     "," 2,924     "," 3,251     "," 3,401     ", 1.82     , 2.32     , 1.43     ,
CONSTANTA," 7,017     "," 3,827     "," 3,190     "," 2,270     "," 4,747     ", 2.40     , 3.04     , 1.91     ,
COVASNA," 4,174     "," 2,158     "," 2,016     "," 1,306     "," 2,868     ", 4.89     , 5.46     , 4.39     ,
DAMBOVITA," 5,967     "," 2,901     "," 3,066     "," 1,587     "," 4,380     ", 3.11     , 3.55     , 2.78     ,
DOLJ," 17,467     "," 7,641     "," 9,826     "," 3,058     "," 14,409     ", 6.56     , 6.44     , 6.66     ,
