judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5590,762,321,1028,1538,1039,902
ARAD,4798,1058,231,721,1206,884,698
ARGES,10508,1093,602,1987,3003,2167,1656
BACAU,10881,1647,477,1539,2611,2008,2599
BIHOR,5349,855,344,1047,1466,956,681
BISTRITA NASAUD,3998,686,231,713,975,719,674
BOTOSANI,3991,656,148,544,1008,742,893
BRAILA,4901,590,218,793,1365,847,1088
BRASOV,6581,1048,373,1301,1595,1170,1094
BUZAU,12280,1377,467,1980,3436,2367,2653
CALARASI,3765,555,138,732,967,679,694
CARAS-SEVERIN,3915,667,208,579,982,720,759
CLUJ,6652,443,309,1286,1932,1784,898
CONSTANTA,7017,1696,300,1145,1481,1145,1250
COVASNA,4174,930,281,827,1053,578,505
DAMBOVITA,5967,830,330,977,1485,1178,1167
DOLJ,17467,1804,825,2869,4973,3462,3534
GALATI,11944,1656,397,1617,3333,2416,2525
GIURGIU,2186,504,77,321,455,403,426
GORJ,5271,822,238,835,1310,1012,1054
HARGHITA,6034,1297,363,1226,1456,913,779
HUNEDOARA,6265,734,368,908,1960,1466,829
IALOMITA,4352,604,182,660,1133,804,969
IASI,9311,891,246,1336,2583,1926,2329
ILFOV,851,279,33,135,188,126,90
MARAMURES,5425,1784,420,776,1106,808,531
MEHEDINTI,6499,590,376,1357,2098,974,1104
MUNICIPIUL BUCURESTI,15354,427,1448,3627,4443,3017,2392
MURES,6025,1251,349,1156,1449,1007,813
NEAMT,8160,1190,319,1244,2145,1603,1659
OLT,9554,1414,334,1239,2546,1996,2025
PRAHOVA,9089,1228,381,1522,2543,2016,1399
SALAJ,5042,970,312,1013,1237,812,698
SATU-MARE,5028,725,339,1160,1421,639,744
SIBIU,5441,769,314,1011,1444,1030,873
SUCEAVA,11720,2880,634,1936,2781,1679,1810
TELEORMAN,8722,1072,407,1424,2288,1722,1809
TIMIS,4105,647,247,703,1037,777,694
TULCEA,2533,482,108,385,692,524,342
VALCEA,6112,1194,273,847,1569,1259,970
VASLUI ,8281,675,246,1159,2478,1957,1766
VRANCEA,5524,836,247,861,1376,1092,1112
TOTAL,286662,41618,14461,48526,76147,54423,51487
