judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6350,927,367,1236,1676,1153,991
ARAD,4572,991,208,681,1138,884,670
ARGES,9840,857,536,1811,2786,2134,1716
BACAU,11505,1514,675,1775,2729,2292,2520
BIHOR,5965,722,353,1229,1705,1118,838
BISTRITA NASAUD,4375,673,270,773,1095,817,747
BOTOSANI,4007,570,138,549,1028,774,948
BRAILA,5263,613,236,849,1501,916,1148
BRASOV,6714,927,430,1413,1683,1166,1095
BUZAU,13468,1321,527,2149,3826,2759,2886
CALARASI,3890,499,140,744,1029,761,717
CARAS-SEVERIN,3607,492,161,581,953,701,719
CLUJ,6108,736,372,1204,1571,1241,984
CONSTANTA,8732,1193,358,1404,2268,1781,1728
COVASNA,4348,927,306,901,1088,574,552
DAMBOVITA,6182,886,338,1029,1534,1166,1229
DOLJ,18872,1870,975,3205,5360,3781,3681
GALATI,12190,1506,430,1728,3511,2485,2530
GIURGIU,2098,338,73,318,487,434,448
GORJ,5212,679,283,815,1371,995,1069
HARGHITA,6162,1086,342,1337,1603,920,874
HUNEDOARA,5736,734,299,922,1584,1349,848
IALOMITA,4581,551,192,681,1298,950,909
IASI,9356,881,254,1375,2658,1911,2277
ILFOV,1441,349,134,256,308,212,182
MARAMURES,4697,1431,289,768,1009,727,473
MEHEDINTI,6503,628,396,1328,2085,962,1104
MUNICIPIUL BUCURESTI,15251,356,1380,3680,4397,3066,2372
MURES,6423,1120,396,1287,1681,1069,870
NEAMT,9034,1172,352,1405,2443,1823,1839
OLT,9441,1088,320,1323,2634,2029,2047
PRAHOVA,8571,1064,345,1458,2387,1979,1338
SALAJ,5419,925,309,1129,1372,935,749
SATU-MARE,5458,780,373,1228,1553,690,834
SIBIU,5496,605,334,1110,1483,1051,913
SUCEAVA,11804,2598,616,1957,2896,1777,1960
TELEORMAN,9151,957,418,1496,2447,1939,1894
TIMIS,4446,602,248,810,1131,898,757
TULCEA,2520,340,160,408,703,519,390
VALCEA,5795,966,221,844,1479,1306,979
VASLUI ,9770,841,329,1466,3065,2175,1894
VRANCEA,5698,765,274,916,1443,1170,1130
TOTAL,296051,38080,15157,51578,79998,57389,53849
