JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5432,2549,2883,2120,1116,1004,3312,1433,1879,
 ARAD,3327,1895,1432,1521,910,611,1806,985,821,
 ARGES,9412,4883,4529,2346,1481,865,7066,3402,3664,
 BACAU,10454,4324,6130,2701,930,1771,7753,3394,4359,
 BIHOR,4239,2566,1673,1720,1083,637,2519,1483,1036,
 BISTRITA-NASAUD,3307,1765,1542,1265,801,464,2042,964,1078,
 BOTOSANI,3421,1641,1780,1350,728,622,2071,913,1158,
 BRAILA,4508,1961,2547,1312,713,599,3196,1248,1948,
 BRASOV,5812,2793,3019,2235,1272,963,3577,1521,2056,
 BUZAU,11506,4725,6781,2124,1057,1067,9382,3668,5714,
 CALARASI,3183,1615,1568,862,458,404,2321,1157,1164,
 CARAS-SEVERIN,3319,1532,1787,1568,741,827,1751,791,960,
 CLUJ,5514,3085,2429,2691,1680,1011,2823,1405,1418,
 CONSTANTA,6497,3592,2905,3310,2060,1250,3187,1532,1655,
 COVASNA,3263,1572,1691,1105,606,499,2158,966,1192,
 DAMBOVITA,6179,2916,3263,1154,616,538,5025,2300,2725,
 DOLJ,18996,8234,10762,3423,1940,1483,15573,6294,9279,
 GALATI,10768,4730,6038,2228,1280,948,8540,3450,5090,
 GIURGIU,1944,1050,894,510,308,202,1434,742,692,
 GORJ,4270,2111,2159,1435,841,594,2835,1270,1565,
 HARGHITA,5244,2451,2793,1616,856,760,3628,1595,2033,
 HUNEDOARA,6380,3635,2745,4447,2637,1810,1933,998,935,
 IALOMITA,4060,1896,2164,1253,694,559,2807,1202,1605,
 IASI,8446,3910,4536,1577,881,696,6869,3029,3840,
 ILFOV,677,377,300,216,127,89,461,250,211,
 MARAMURES,4536,2186,2350,2591,1299,1292,1945,887,1058,
 MEHEDINTI,6328,2809,3519,1671,887,784,4657,1922,2735,
 MURES,5520,2580,2940,1437,808,629,4083,1772,2311,
 NEAMT,6286,3055,3231,1537,893,644,4749,2162,2587,
 OLT,8673,3955,4718,2068,1202,866,6605,2753,3852,
 PRAHOVA,7888,4135,3753,3109,1784,1325,4779,2351,2428,
 SALAJ,4556,2061,2495,1004,600,404,3552,1461,2091,
 SATU MARE,4659,2169,2490,1017,530,487,3642,1639,2003,
 SIBIU,4309,2086,2223,1744,933,811,2565,1153,1412,
 SUCEAVA,10735,4982,5753,3346,1739,1607,7389,3243,4146,
 TELEORMAN,8565,3824,4741,2098,1128,970,6467,2696,3771,
 TIMIS,3220,1821,1399,1620,988,632,1600,833,767,
 TULCEA,2718,1384,1334,863,504,359,1855,880,975,
 VALCEA,5301,2682,2619,1996,1128,868,3305,1554,1751,
 VASLUI,6972,2997,3975,1281,716,565,5691,2281,3410,
 VRANCEA,5002,2296,2706,1112,629,483,3890,1667,2223,
BUCURESTI,15241,8077,7164,15241,8077,7164,0,0,0,
Total TARA ,260667,124907,135760,89824,49661,40163,170843,75246,95597,
