judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5432,437,332,1080,1562,1056,965
ARAD,3327,325,171,577,993,687,574
ARGES,9412,660,543,1890,2813,1949,1557
BACAU,10454,882,465,1657,2895,2129,2426
BIHOR,4239,289,296,920,1345,842,547
BISTRITA NASAUD,3307,311,177,662,858,674,625
BOTOSANI,3421,275,127,518,969,679,853
BRAILA,4508,379,198,764,1311,802,1054
BRASOV,5812,636,332,1257,1512,1073,1002
BUZAU,11506,758,451,1940,3400,2274,2683
CALARASI,3183,265,121,653,889,606,649
CARAS-SEVERIN,3319,357,191,558,893,669,651
CLUJ,5514,322,302,1242,1588,1200,860
CONSTANTA,6497,1171,296,1112,1531,1143,1244
COVASNA,3263,499,234,705,904,464,457
DAMBOVITA,6179,538,310,1104,1640,1273,1314
DOLJ,18996,1733,1113,3621,5440,3666,3423
GALATI,10768,742,374,1578,3272,2344,2458
GIURGIU,1944,315,69,310,440,401,409
GORJ,4270,325,202,732,1205,878,928
HARGHITA,5244,708,354,1229,1390,812,751
HUNEDOARA,6380,449,539,1374,1798,1310,910
IALOMITA,4060,330,194,687,1129,794,926
IASI,8446,477,248,1248,2441,1788,2244
ILFOV,677,130,29,132,176,121,89
MARAMURES,4536,847,283,843,1167,806,590
MEHEDINTI,6328,496,356,1340,2081,957,1098
MUNICIPIUL BUCURESTI,15241,218,1502,3622,4428,3012,2459
MURES,5520,747,353,1210,1433,934,843
NEAMT,6286,523,269,1078,1813,1342,1261
OLT,8673,747,301,1242,2560,1885,1938
PRAHOVA,7888,558,322,1411,2394,1897,1306
SALAJ,4556,574,305,997,1211,790,679
SATU-MARE,4659,558,310,1118,1370,599,704
SIBIU,4309,454,275,864,1201,778,737
SUCEAVA,10735,1516,665,2055,2904,1724,1871
TELEORMAN,8565,728,441,1497,2359,1747,1793
TIMIS,3220,250,193,596,926,629,626
TULCEA,2718,364,135,481,769,579,390
VALCEA,5301,552,222,847,1532,1239,909
VASLUI ,6972,342,204,1099,2277,1571,1479
VRANCEA,5002,474,228,830,1329,1074,1067
TOTAL,260667,23261,14032,48680,74148,51197,49349
