JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,6453,695,696,1644,1762,66,1155,435
ARAD,4772,350,523,802,1821,106,688,482
ARGES,10070,654,1885,2924,2212,154,1632,609
BACAU,10825,1511,3090,760,1536,1792,1761,375
BIHOR,5317,242,818,1209,1575,104,768,601
BISTRITA,4062,95,301,1153,1037,406,803,267
BOTOSANI,3933,198,1090,823,968,71,616,167
BRAILA,4874,809,1149,1570,576,60,547,163
BRASOV,6831,1019,1176,1441,1600,104,862,629
BUZAU,11953,2259,2224,3632,1848,84,1729,177
CALARASI,3714,362,973,998,758,35,429,159
CARAS,3771,201,719,769,1254,111,491,226
CLUJ,6595,587,617,1468,1792,180,1278,673
CONSTANTA,7017,844,742,1289,2664,84,727,667
COVASNA,4290,551,1163,893,914,63,557,149
DAMBOVITA,6083,569,615,1914,1531,106,983,365
DOLJ,17707,758,5832,4515,3975,379,1927,321
GALATI,12027,1175,2077,4346,2118,152,1692,467
GIURGIU,2153,258,304,655,674,19,166,77
GORJ,4979,174,476,1005,1626,329,992,377
HARGHITA,5517,1019,915,1046,1271,89,862,315
HUNEDOARA,6009,205,301,1299,2243,126,1194,641
IALOMITA,4294,276,1047,1324,881,66,619,81
IASI,9078,535,1636,2784,1131,89,2326,577
ILFOV,922,79,121,122,416,8,97,79
MARAMURES,5008,74,900,686,1956,117,831,444
MEHEDINTI,6329,0,1242,2794,1227,90,837,139
MUN. BUC.,15343,24,144,2519,5234,298,2802,4322
MURES,5910,640,1536,1097,1220,120,895,402
NEAMT,8370,903,1075,2310,1641,124,2004,313
OLT,9460,1896,714,2812,2310,170,1474,84
PRAHOVA,9071,532,1121,2101,2446,290,1816,765
SALAJ,5254,111,1235,1113,1443,131,981,240
SATU M.,5223,286,1966,1310,589,57,846,169
SIBIU,5360,404,1273,1010,1161,101,946,465
SUCEAVA,11600,209,1771,2696,3220,477,2661,566
TELEORMAN,7968,334,802,4064,1401,95,1209,63
TIMIS,4289,206,370,637,1539,115,756,666
TULCEA,2478,0,410,860,634,0,480,94
VALCEA,6292,53,796,1174,2268,286,1266,449
VASLUI,8671,271,1383,3176,1178,86,2459,118
VRANCEA,5422,101,1673,1323,871,362,921,171
Total general,285294,21469,48901,72067,68521,7702,48085,18549
