judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6453,905,388,1240,1754,1142,1024
ARAD,4772,1092,244,698,1182,866,690
ARGES,10070,1057,573,1895,2779,2095,1671
BACAU,10825,1595,558,1619,2695,2040,2318
BIHOR,5317,727,333,1068,1520,961,708
BISTRITA NASAUD,4062,677,239,686,1005,747,708
BOTOSANI,3933,660,120,542,982,741,888
BRAILA,4874,586,238,765,1347,845,1093
BRASOV,6831,1104,397,1395,1648,1156,1131
BUZAU,11953,1359,456,1917,3307,2328,2586
CALARASI,3714,524,131,712,957,692,698
CARAS-SEVERIN,3771,653,200,567,944,672,735
CLUJ,6595,465,316,1250,1932,1734,898
CONSTANTA,7017,1705,308,1132,1439,1141,1292
COVASNA,4290,972,289,839,1062,595,533
DAMBOVITA,6083,948,324,973,1498,1174,1166
DOLJ,17707,1847,858,2969,5010,3491,3532
GALATI,12027,1628,404,1652,3344,2456,2543
GIURGIU,2153,488,70,294,453,415,433
GORJ,4979,701,238,788,1277,957,1018
HARGHITA,5517,1125,299,1144,1370,851,728
HUNEDOARA,6009,738,374,822,1870,1406,799
IALOMITA,4294,597,177,663,1137,792,928
IASI,9078,923,250,1324,2523,1838,2220
ILFOV,922,322,35,140,199,131,95
MARAMURES,5008,1882,307,681,924,708,506
MEHEDINTI,6329,595,358,1310,2051,930,1085
MUNICIPIUL BUCURESTI,15343,397,1437,3641,4427,3042,2399
MURES,5910,1212,378,1128,1420,971,801
NEAMT,8370,1218,330,1259,2232,1638,1693
OLT,9460,1340,311,1271,2530,2000,2008
PRAHOVA,9071,1228,384,1522,2491,2039,1407
SALAJ,5254,966,317,1060,1318,873,720
SATU-MARE,5223,790,354,1189,1452,653,785
SIBIU,5360,737,315,1019,1414,1025,850
SUCEAVA,11600,2858,630,1883,2753,1683,1793
TELEORMAN,7968,1082,380,1315,2073,1571,1547
TIMIS,4289,656,242,761,1086,835,709
TULCEA,2478,521,300,418,553,421,265
VALCEA,6292,1276,292,858,1571,1321,974
VASLUI ,8671,838,253,1259,2597,1932,1792
VRANCEA,5422,831,238,847,1353,1073,1080
TOTAL,285294,41825,14645,48515,75479,53981,50849
