JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,962     "," 2,906     "," 3,056     "," 2,259     "," 3,703     ", 3.54     , 3.74     , 3.37     ,
ARAD," 4,201     "," 2,299     "," 1,902     "," 2,242     "," 1,959     ", 1.98     , 2.47     , 1.60     ,
ARGES," 9,531     "," 4,813     "," 4,718     "," 4,036     "," 5,495     ", 3.68     , 3.98     , 3.42     ,
BACAU," 12,118     "," 5,046     "," 7,072     "," 2,278     "," 9,840     ", 5.68     , 5.40     , 5.91     ,
BIHOR," 5,449     "," 3,096     "," 2,353     "," 3,064     "," 2,385     ", 2.06     , 2.54     , 1.65     ,
BISTRITA NASAUD," 4,356     "," 2,212     "," 2,144     "," 2,109     "," 2,247     ", 3.39     , 3.81     , 3.05     ,
BOTOSANI," 3,518     "," 1,621     "," 1,897     "," 1,104     "," 2,414     ", 2.56     , 2.48     , 2.64     ,
BRAILA," 5,053     "," 2,143     "," 2,910     "," 1,027     "," 4,026     ", 4.14     , 3.88     , 4.34     ,
BRASOV," 6,148     "," 2,958     "," 3,190     "," 1,824     "," 4,324     ", 2.34     , 2.62     , 2.13     ,
BUZAU," 9,701     "," 3,826     "," 5,875     "," 2,010     "," 7,691     ", 5.65     , 4.78     , 6.41     ,
CALARASI," 2,924     "," 1,456     "," 1,468     ", 648     ," 2,276     ", 3.20     , 3.30     , 3.11     ,
CARA?-SEVERIN," 3,545     "," 1,678     "," 1,867     "," 1,506     "," 2,039     ", 3.33     , 3.56     , 3.14     ,
CLUJ," 5,967     "," 3,231     "," 2,736     "," 2,571     "," 3,396     ", 1.60     , 1.96     , 1.31     ,
CONSTANTA," 7,064     "," 3,981     "," 3,083     "," 2,997     "," 4,067     ", 2.40     , 3.11     , 1.85     ,
COVASNA," 4,080     "," 1,976     "," 2,104     ", 897     ," 3,183     ", 4.76     , 4.83     , 4.69     ,
DAMBOVITA," 6,139     "," 2,841     "," 3,298     "," 1,743     "," 4,396     ", 3.19     , 3.46     , 2.99     ,
DOLJ," 17,416     "," 7,476     "," 9,940     "," 2,815     "," 14,601     ", 6.54     , 6.18     , 6.85     ,
GALATI," 10,918     "," 4,739     "," 6,179     "," 2,120     "," 8,798     ", 5.75     , 5.52     , 5.93     ,
GIURGIU," 2,315     "," 1,209     "," 1,106     ", 681     ," 1,634     ", 2.88     , 3.26     , 2.55     ,
GORJ," 4,564     "," 2,164     "," 2,400     "," 1,770     "," 2,794     ", 3.38     , 3.45     , 3.31     ,
HARGHITA," 5,577     "," 2,818     "," 2,759     "," 2,061     "," 3,516     ", 4.13     , 4.74     , 3.65     ,
HUNEDOARA," 5,615     "," 3,102     "," 2,513     "," 3,087     "," 2,528     ", 3.27     , 3.86     , 2.75     ,
IALOMITA," 4,316     "," 1,954     "," 2,362     "," 1,289     "," 3,027     ", 4.60     , 4.51     , 4.68     ,
IASI," 9,214     "," 4,134     "," 5,080     "," 1,858     "," 7,356     ", 3.10     , 2.97     , 3.22     ,
ILFOV," 1,453     ", 874     , 579     , 876     , 577     , 0.70     , 0.99     , 0.49     ,
MARAMURES," 4,132     "," 2,070     "," 2,062     "," 1,954     "," 2,178     ", 2.05     , 2.23     , 1.90     ,
MEHEDINTI," 6,020     "," 2,615     "," 3,405     "," 1,541     "," 4,479     ", 5.90     , 5.51     , 6.25     ,
MUN. BUC.," 14,891     "," 8,061     "," 6,830     "," 4,466     "," 10,425     ", 1.21     , 1.31     , 1.10     ,
MURES," 6,616     "," 3,148     "," 3,468     "," 2,143     "," 4,473     ", 2.81     , 3.00     , 2.66     ,
