judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5962,515,341,1200,1654,1211,1041
ARAD,4201,323,144,645,1201,995,893
ARGES,9531,656,493,1769,2755,2172,1686
BACAU,12118,1274,525,1984,3132,2407,2796
BIHOR,5449,502,338,1027,1624,1008,950
BISTRITA NASAUD,4356,605,248,670,1127,891,815
BOTOSANI,3518,316,123,473,956,734,916
BRAILA,5053,499,215,822,1446,931,1140
BRASOV,6148,856,307,1236,1579,1087,1083
BUZAU,9701,636,389,1449,2761,2194,2272
CALARASI,2924,223,111,622,808,536,624
CARAS-SEVERIN,3545,388,162,542,915,791,747
CLUJ,5967,674,344,1139,1497,1293,1020
CONSTANTA,7064,608,309,1172,1863,1391,1721
COVASNA,4080,723,290,896,1041,591,539
DAMBOVITA,6139,680,346,863,1591,1393,1266
DOLJ,17416,1495,879,3056,4831,3597,3558
GALATI,10918,878,409,1623,3270,2159,2579
GIURGIU,2315,452,121,309,508,451,474
GORJ,4564,310,179,715,1283,1147,930
HARGHITA,5577,672,294,1159,1570,1069,813
HUNEDOARA,5615,528,285,911,1545,1402,944
IALOMITA,4316,369,166,652,1271,850,1008
IASI,9214,648,232,1330,2665,1979,2360
ILFOV,1453,88,58,253,493,333,228
MARAMURES,4132,697,284,716,1038,793,604
MEHEDINTI,6020,471,261,939,1679,1376,1294
MUNICIPIUL BUCURESTI,14891,230,1369,3519,4299,3088,2386
MURES,6616,1034,423,1355,1825,950,1029
NEAMT,8154,841,341,1235,2231,1738,1768
OLT,8718,691,298,1212,2509,2016,1992
PRAHOVA,8103,756,321,1353,2322,1958,1393
SALAJ,5029,702,311,1099,1312,863,742
SATU-MARE,5011,684,315,1111,1462,744,695
SIBIU,4652,346,281,951,1326,825,923
SUCEAVA,11106,1581,643,2098,2965,1810,2009
TELEORMAN,8934,823,475,1494,2403,1929,1810
TIMIS,4010,433,238,666,1022,839,812
TULCEA,2801,379,250,490,684,544,454
VALCEA,5681,532,257,871,1587,1406,1028
VASLUI ,10072,592,297,1489,3243,2305,2146
VRANCEA,5824,582,282,952,1532,1247,1229
TOTAL,276898,26292,13954,48067,76825,57043,54717
