JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,4788,2355,2433,1604,899,705,3184,1456,1728,
 ARAD,3740,1948,1792,1443,776,667,2297,1172,1125,
 ARGES,8441,4137,4304,1747,1044,703,6694,3093,3601,
 BACAU,11916,4920,6996,2564,1341,1223,9352,3579,5773,
 BIHOR,4288,2357,1931,1450,881,569,2838,1476,1362,
 BISTRITA-NASAUD,4075,2110,1965,1330,778,552,2745,1332,1413,
 BOTOSANI,3157,1481,1676,1049,525,524,2108,956,1152,
 BRAILA,3987,1685,2302,1035,560,475,2952,1125,1827,
 BRASOV,6504,3075,3429,2392,1277,1115,4112,1798,2314,
 BUZAU,9497,3892,5605,1655,847,808,7842,3045,4797,
 CALARASI,3052,1449,1603,882,421,461,2170,1028,1142,
 CARAS-SEVERIN,3189,1515,1674,1337,658,679,1852,857,995,
 CLUJ,5026,2673,2353,2309,1427,882,2717,1246,1471,
 CONSTANTA,5316,2825,2491,2355,1439,916,2961,1386,1575,
 COVASNA,3612,1722,1890,1042,550,492,2570,1172,1398,
 DAMBOVITA,5661,2642,3019,1007,538,469,4654,2104,2550,
 DOLJ,15571,6660,8911,2585,1450,1135,12986,5210,7776,
 GALATI,10915,4694,6221,2046,1120,926,8869,3574,5295,
 GIURGIU,2165,1125,1040,515,300,215,1650,825,825,
 GORJ,4218,2051,2167,1325,783,542,2893,1268,1625,
 HARGHITA,4956,2440,2516,1518,840,678,3438,1600,1838,
 HUNEDOARA,6700,2955,3745,4629,2125,2504,2071,830,1241,
 IALOMITA,4091,1844,2247,1244,606,638,2847,1238,1609,
 IASI,8759,3869,4890,1516,807,709,7243,3062,4181,
 ILFOV,1211,716,495,364,235,129,847,481,366,
 MARAMURES,4614,2373,2241,2504,1373,1131,2110,1000,1110,
 MEHEDINTI,6006,2548,3458,1153,586,567,4853,1962,2891,
 MURES,5897,2823,3074,1603,886,717,4294,1937,2357,
 NEAMT,7024,3182,3842,1382,766,616,5642,2416,3226,
 OLT,8289,3699,4590,1810,998,812,6479,2701,3778,
 PRAHOVA,7024,3570,3454,2471,1424,1047,4553,2146,2407,
 SALAJ,4835,2139,2696,978,532,446,3857,1607,2250,
 SATU MARE,4483,2057,2426,839,439,400,3644,1618,2026,
 SIBIU,3843,1816,2027,1494,771,723,2349,1045,1304,
 SUCEAVA,10271,4590,5681,2783,1405,1378,7488,3185,4303,
 TELEORMAN,8632,3663,4969,2047,993,1054,6585,2670,3915,
 TIMIS,3255,1848,1407,1590,964,626,1665,884,781,
 TULCEA,2546,1286,1260,750,432,318,1796,854,942,
 VALCEA,4964,2459,2505,1673,942,731,3291,1517,1774,
 VASLUI,9179,3888,5291,1379,779,600,7800,3109,4691,
 VRANCEA,5781,2517,3264,1136,588,548,4645,1929,2716,
BUCURESTI,14602,7806,6796,14602,7806,6796,0,0,0,
Total TARA ,256080,119404,136676,81137,43911,37226,174943,75493,99450,
