JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5040,392,817,1713,1081,53,738,246
ARAD,2949,529,402,713,762,46,297,200
ARGES,8254,438,1894,2547,1513,123,1395,344
BACAU,6878,456,1041,2364,1762,77,946,232
BIHOR,3523,298,736,838,756,71,473,351
BISTRITA,3930,245,584,1113,1018,50,683,237
BOTOSANI,2835,92,662,1025,481,26,459,90
BRAILA,3643,636,857,1204,359,53,398,136
BRASOV,5123,771,1329,1369,856,55,465,278
BUZAU,8138,763,1800,2744,1297,75,1334,125
CALARASI,2843,343,755,922,429,29,317,48
CARAS,2392,317,347,483,687,60,361,137
CLUJ,4442,626,752,1065,808,93,703,395
CONSTANTA,6454,738,952,1687,1701,82,901,393
COVASNA,3269,445,1183,757,531,22,260,71
DAMBOVITA,4613,430,985,1554,813,33,642,156
DOLJ,15375,763,4863,4683,2994,118,1599,355
GALATI,10626,1106,2421,4020,1356,78,1312,333
GIURGIU,1979,158,390,776,455,14,126,60
GORJ,4295,0,426,1324,1271,79,914,281
HARGHITA,4639,764,1356,948,860,40,535,136
HUNEDOARA,6231,438,646,1541,1700,188,1142,576
IALOMITA,4116,358,990,1421,609,28,640,70
IASI,7987,587,1594,2570,1156,63,1755,262
ILFOV,767,87,195,148,162,5,82,88
MARAMURES,3711,121,976,774,932,110,557,241
MEHEDINTI,5641,641,1062,2160,961,73,645,99
MUN. BUC.,14004,20,130,2479,5188,438,2386,3363
MURES,5188,693,1884,1104,673,53,591,190
NEAMT,6582,590,1052,2228,1219,71,1225,197
OLT,7659,648,853,2832,1707,93,1334,192
PRAHOVA,5915,566,953,1558,1242,89,1111,396
SALAJ,4352,417,1427,1171,643,47,496,151
SATU M.,4597,722,1798,1363,330,16,296,72
SIBIU,3672,365,1141,814,555,40,531,226
SUCEAVA,10401,1052,2087,3236,1804,130,1776,316
TELEORMAN,8640,715,1509,3986,1260,52,997,121
TIMIS,2592,289,245,507,733,45,365,408
TULCEA,2268,0,639,679,536,0,356,58
VALCEA,4830,176,475,1364,1308,112,1098,297
VASLUI,9153,430,2371,3744,1205,50,1263,90
VRANCEA,5211,340,1513,1826,805,83,550,94
Total general,234757,19565,48092,71354,46518,3063,34054,12111
