JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,736     "," 3,182     "," 3,554     "," 2,816     "," 3,920     ", 4.00     , 4.10     , 3.91     ,
ARAD," 4,077     "," 2,314     "," 1,763     "," 2,618     "," 1,459     ", 1.92     , 2.49     , 1.48     ,
ARGES," 9,843     "," 4,901     "," 4,942     "," 4,269     "," 5,574     ", 3.80     , 4.06     , 3.58     ,
BACAU," 12,021     "," 5,063     "," 6,958     "," 3,191     "," 8,830     ", 5.64     , 5.41     , 5.81     ,
BIHOR," 5,822     "," 3,354     "," 2,468     "," 3,459     "," 2,363     ", 2.20     , 2.75     , 1.73     ,
BISTRITA NASAUD," 4,368     "," 2,277     "," 2,091     "," 2,543     "," 1,825     ", 3.40     , 3.92     , 2.97     ,
BOTOSANI," 4,108     "," 1,860     "," 2,248     "," 1,397     "," 2,711     ", 2.99     , 2.84     , 3.13     ,
BRAILA," 5,389     "," 2,268     "," 3,121     "," 1,172     "," 4,217     ", 4.41     , 4.11     , 4.66     ,
BRASOV," 6,608     "," 3,112     "," 3,496     "," 2,122     "," 4,486     ", 2.52     , 2.76     , 2.33     ,
BUZAU," 13,102     "," 5,290     "," 7,812     "," 2,527     "," 10,575     ", 7.63     , 6.61     , 8.52     ,
CALARASI," 3,610     "," 1,742     "," 1,868     "," 1,020     "," 2,590     ", 3.95     , 3.95     , 3.96     ,
CARA?-SEVERIN," 3,547     "," 1,677     "," 1,870     "," 1,614     "," 1,933     ", 3.33     , 3.56     , 3.15     ,
CLUJ," 6,407     "," 3,510     "," 2,897     "," 3,027     "," 3,380     ", 1.72     , 2.13     , 1.39     ,
CONSTANTA," 8,330     "," 4,935     "," 3,395     "," 3,878     "," 4,452     ", 2.83     , 3.85     , 2.04     ,
COVASNA," 4,303     "," 2,095     "," 2,208     "," 1,146     "," 3,157     ", 5.02     , 5.12     , 4.92     ,
DAMBOVITA," 5,775     "," 2,826     "," 2,949     "," 1,702     "," 4,073     ", 3.00     , 3.44     , 2.67     ,
DOLJ," 18,848     "," 8,120     "," 10,728     "," 3,176     "," 15,672     ", 7.08     , 6.71     , 7.39     ,
GALATI," 11,856     "," 5,033     "," 6,823     "," 2,432     "," 9,424     ", 6.24     , 5.87     , 6.55     ,
GIURGIU," 2,062     "," 1,097     ", 965     , 765     ," 1,297     ", 2.56     , 2.96     , 2.23     ,
GORJ," 5,121     "," 2,324     "," 2,797     "," 2,052     "," 3,069     ", 3.79     , 3.71     , 3.86     ,
HARGHITA," 6,303     "," 3,239     "," 3,064     "," 2,826     "," 3,477     ", 4.67     , 5.44     , 4.05     ,
HUNEDOARA," 5,426     "," 2,783     "," 2,643     "," 2,585     "," 2,841     ", 3.16     , 3.47     , 2.89     ,
IALOMITA," 4,732     "," 2,111     "," 2,621     "," 1,603     "," 3,129     ", 5.04     , 4.88     , 5.19     ,
IASI," 9,708     "," 4,475     "," 5,233     "," 2,144     "," 7,564     ", 3.27     , 3.21     , 3.31     ,
ILFOV," 1,466     ", 892     , 574     , 996     , 470     , 0.71     , 1.01     , 0.48     ,
MARAMURES," 3,991     "," 2,062     "," 1,929     "," 2,325     "," 1,666     ", 1.98     , 2.22     , 1.77     ,
MEHEDINTI," 6,281     "," 2,796     "," 3,485     "," 1,784     "," 4,497     ", 6.16     , 5.89     , 6.39     ,
MUN. BUC.," 15,074     "," 8,153     "," 6,921     "," 4,706     "," 10,368     ", 1.22     , 1.33     , 1.12     ,
MURES," 6,241     "," 2,940     "," 3,301     "," 2,253     "," 3,988     ", 2.65     , 2.80     , 2.53     ,
NEAMT," 9,252     "," 4,178     "," 5,074     "," 2,627     "," 6,625     ", 5.08     , 5.02     , 5.14     ,
OLT," 9,546     "," 4,295     "," 5,251     "," 2,266     "," 7,280     ", 5.92     , 5.80     , 6.02     ,
PRAHOVA," 8,445     "," 4,466     "," 3,979     "," 4,362     "," 4,083     ", 2.90     , 3.62     , 2.37     ,
SALAJ," 5,326     "," 2,480     "," 2,846     "," 1,752     "," 3,574     ", 5.15     , 5.47     , 4.90     ,
SATU M.," 5,516     "," 2,575     "," 2,941     "," 1,157     "," 4,359     ", 3.77     , 3.82     , 3.73     ,
SIBIU," 5,301     "," 2,605     "," 2,696     "," 2,369     "," 2,932     ", 2.70     , 3.04     , 2.43     ,
SUCEAVA," 10,635     "," 4,835     "," 5,800     "," 4,799     "," 5,836     ", 4.59     , 4.56     , 4.62     ,
TELEORMAN," 9,267     "," 3,902     "," 5,365     "," 1,889     "," 7,378     ", 6.60     , 5.70     , 7.46     ,
TIMIS," 4,497     "," 2,516     "," 1,981     "," 2,832     "," 1,665     ", 1.28     , 1.62     , 1.01     ,
TULCEA," 2,634     "," 1,249     "," 1,385     ", 996     ," 1,638     ", 3.18     , 3.23     , 3.14     ,
VALCEA," 5,656     "," 2,811     "," 2,845     "," 2,879     "," 2,777     ", 3.51     , 3.89     , 3.19     ,
VASLUI," 9,367     "," 4,031     "," 5,336     "," 1,958     "," 7,409     ", 7.02     , 6.23     , 7.76     ,
VRANCEA," 5,619     "," 2,396     "," 3,223     "," 1,215     "," 4,404     ", 4.12     , 3.76     , 4.44     ,
Total ," 292,216     "," 138,770     "," 153,446     "," 99,249     "," 192,967     ", 3.34     , 3.46     , 3.24     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
