JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,984     "," 2,425     "," 2,559     "," 1,635     "," 3,349     ", 2.96     , 3.12     , 2.82     ,
ARAD," 3,849     "," 2,049     "," 1,800     "," 1,655     "," 2,194     ", 1.82     , 2.20     , 1.51     ,
ARGES," 8,488     "," 4,159     "," 4,329     "," 2,946     "," 5,542     ", 3.28     , 3.44     , 3.13     ,
BACAU," 12,042     "," 4,932     "," 7,110     "," 1,651     "," 10,391     ", 5.65     , 5.27     , 5.94     ,
BIHOR," 4,388     "," 2,427     "," 1,961     "," 2,044     "," 2,344     ", 1.66     , 1.99     , 1.38     ,
BISTRITA NASAUD," 4,176     "," 2,142     "," 2,034     "," 1,666     "," 2,510     ", 3.25     , 3.69     , 2.89     ,
BOTOSANI," 3,091     "," 1,441     "," 1,650     ", 727     ," 2,364     ", 2.25     , 2.20     , 2.29     ,
BRAILA," 4,040     "," 1,715     "," 2,325     ", 690     ," 3,350     ", 3.31     , 3.11     , 3.47     ,
BRASOV," 6,599     "," 3,137     "," 3,462     "," 1,396     "," 5,203     ", 2.51     , 2.78     , 2.31     ,
BUZAU," 9,521     "," 3,876     "," 5,645     "," 1,446     "," 8,075     ", 5.55     , 4.85     , 6.16     ,
CALARASI," 3,050     "," 1,579     "," 1,471     ", 656     ," 2,394     ", 3.34     , 3.58     , 3.12     ,
CARA?-SEVERIN," 3,338     "," 1,582     "," 1,756     "," 1,110     "," 2,228     ", 3.13     , 3.36     , 2.96     ,
CLUJ," 5,215     "," 2,783     "," 2,432     "," 1,895     "," 3,320     ", 1.40     , 1.69     , 1.17     ,
CONSTANTA," 5,774     "," 3,044     "," 2,730     "," 1,624     "," 4,150     ", 1.96     , 2.37     , 1.64     ,
COVASNA," 3,705     "," 1,744     "," 1,961     ", 598     ," 3,107     ", 4.32     , 4.26     , 4.37     ,
DAMBOVITA," 5,930     "," 2,769     "," 3,161     "," 1,380     "," 4,550     ", 3.08     , 3.37     , 2.87     ,
DOLJ," 15,693     "," 6,707     "," 8,986     "," 2,236     "," 13,457     ", 5.90     , 5.54     , 6.19     ,
GALATI," 10,910     "," 4,684     "," 6,226     "," 1,451     "," 9,459     ", 5.74     , 5.46     , 5.98     ,
GIURGIU," 2,229     "," 1,160     "," 1,069     ", 477     ," 1,752     ", 2.77     , 3.13     , 2.47     ,
GORJ," 4,146     "," 2,008     "," 2,138     "," 1,350     "," 2,796     ", 3.07     , 3.20     , 2.95     ,
HARGHITA," 5,050     "," 2,509     "," 2,541     "," 1,257     "," 3,793     ", 3.74     , 4.22     , 3.36     ,
HUNEDOARA," 5,412     "," 2,885     "," 2,527     "," 2,544     "," 2,868     ", 3.15     , 3.59     , 2.77     ,
IALOMITA," 4,191     "," 1,874     "," 2,317     ", 952     ," 3,239     ", 4.47     , 4.33     , 4.59     ,
IASI," 8,835     "," 3,912     "," 4,923     "," 1,346     "," 7,489     ", 2.97     , 2.81     , 3.12     ,
ILFOV," 1,257     ", 735     , 522     , 691     , 566     , 0.61     , 0.83     , 0.44     ,
MARAMURES," 4,553     "," 2,249     "," 2,304     "," 1,464     "," 3,089     ", 2.26     , 2.42     , 2.12     ,
MEHEDINTI," 5,957     "," 2,529     "," 3,428     "," 1,053     "," 4,904     ", 5.84     , 5.32     , 6.29     ,
MUN. BUC.," 14,745     "," 7,895     "," 6,850     "," 3,557     "," 11,188     ", 1.20     , 1.29     , 1.10     ,
MURES," 6,237     "," 2,945     "," 3,292     "," 1,609     "," 4,628     ", 2.65     , 2.80     , 2.52     ,
NEAMT," 7,162     "," 3,193     "," 3,969     "," 1,347     "," 5,815     ", 3.94     , 3.84     , 4.02     ,
OLT," 8,292     "," 3,730     "," 4,562     "," 1,358     "," 6,934     ", 5.14     , 5.04     , 5.23     ,
PRAHOVA," 7,118     "," 3,652     "," 3,466     "," 2,772     "," 4,346     ", 2.45     , 2.96     , 2.07     ,
SALAJ," 4,982     "," 2,217     "," 2,765     "," 1,050     "," 3,932     ", 4.82     , 4.89     , 4.76     ,
SATU M.," 4,585     "," 2,115     "," 2,470     ", 725     ," 3,860     ", 3.13     , 3.14     , 3.13     ,
SIBIU," 3,982     "," 1,889     "," 2,093     "," 1,550     "," 2,432     ", 2.03     , 2.21     , 1.89     ,
SUCEAVA," 10,094     "," 4,543     "," 5,551     "," 2,845     "," 7,249     ", 4.36     , 4.28     , 4.42     ,
TELEORMAN," 8,861     "," 3,747     "," 5,114     "," 1,234     "," 7,627     ", 6.31     , 5.47     , 7.11     ,
TIMIS," 3,213     "," 1,826     "," 1,387     "," 1,798     "," 1,415     ", 0.92     , 1.18     , 0.71     ,
TULCEA," 2,625     "," 1,307     "," 1,318     ", 554     ," 2,071     ", 3.17     , 3.38     , 2.99     ,
VALCEA," 5,009     "," 2,496     "," 2,513     "," 1,847     "," 3,162     ", 3.11     , 3.46     , 2.82     ,
VASLUI," 9,578     "," 4,035     "," 5,543     "," 1,395     "," 8,183     ", 7.17     , 6.24     , 8.06     ,
VRANCEA," 5,868     "," 2,538     "," 3,330     ", 805     ," 5,063     ", 4.30     , 3.98     , 4.59     ,
Total ," 258,774     "," 121,184     "," 137,590     "," 62,386     "," 196,388     ", 2.96     , 3.02     , 2.90     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
