JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5543,2684,2859,1969,1075,894,3574,1609,1965,
 ARAD,4009,2162,1847,1670,942,728,2339,1220,1119,
 ARGES,9017,4513,4504,2088,1324,764,6929,3189,3740,
 BACAU,11987,4954,7033,2794,1383,1411,9193,3571,5622,
 BIHOR,5198,2955,2243,1812,1138,674,3386,1817,1569,
 BISTRITA-NASAUD,4307,2192,2115,1486,765,721,2821,1427,1394,
 BOTOSANI,3264,1527,1737,1123,594,529,2141,933,1208,
 BRAILA,4732,2019,2713,1266,667,599,3466,1352,2114,
 BRASOV,6009,2862,3147,2158,1174,984,3851,1688,2163,
 BUZAU,9222,3696,5526,1551,780,771,7671,2916,4755,
 CALARASI,2829,1401,1428,657,317,340,2172,1084,1088,
 CARAS-SEVERIN,3483,1632,1851,1532,754,778,1951,878,1073,
 CLUJ,5710,3079,2631,2661,1652,1009,3049,1427,1622,
 CONSTANTA,6393,3436,2957,2998,1866,1132,3395,1570,1825,
 COVASNA,4025,1980,2045,1112,619,493,2913,1361,1552,
 DAMBOVITA,6151,2838,3313,1184,619,565,4967,2219,2748,
 DOLJ,16776,7237,9539,2863,1669,1194,13913,5568,8345,
 GALATI,11020,4730,6290,2125,1201,924,8895,3529,5366,
 GIURGIU,2139,1106,1033,531,267,264,1608,839,769,
 GORJ,4432,2126,2306,1400,825,575,3032,1301,1731,
 HARGHITA,5379,2713,2666,1658,959,699,3721,1754,1967,
 HUNEDOARA,5432,3020,2412,3678,2143,1535,1754,877,877,
 IALOMITA,4146,1863,2283,1320,677,643,2826,1186,1640,
 IASI,9004,4032,4972,1619,897,722,7385,3135,4250,
 ILFOV,1406,847,559,470,307,163,936,540,396,
 MARAMURES,4032,1968,2064,2032,1039,993,2000,929,1071,
 MEHEDINTI,5824,2509,3315,1263,671,592,4561,1838,2723,
 MURES,6491,3078,3413,1809,981,828,4682,2097,2585,
 NEAMT,7591,3415,4176,1543,856,687,6048,2559,3489,
 OLT,8415,3802,4613,1863,1099,764,6552,2703,3849,
 PRAHOVA,7763,3937,3826,2708,1553,1155,5055,2384,2671,
 SALAJ,4974,2258,2716,973,555,418,4001,1703,2298,
 SATU MARE,4836,2263,2573,956,521,435,3880,1742,2138,
 SIBIU,4336,2059,2277,1679,902,777,2657,1157,1500,
 SUCEAVA,10709,4735,5974,3034,1545,1489,7675,3190,4485,
 TELEORMAN,8518,3551,4967,1837,910,927,6681,2641,4040,
 TIMIS,3726,2106,1620,1882,1159,723,1844,947,897,
 TULCEA,2708,1320,1388,779,441,338,1929,879,1050,
 VALCEA,5570,2764,2806,2053,1132,921,3517,1632,1885,
 VASLUI,9659,4121,5538,1543,887,656,8116,3234,4882,
 VRANCEA,5824,2550,3274,1198,628,570,4626,1922,2704,
BUCURESTI,14867,8022,6845,14867,8022,6845,0,0,0,
Total TARA ,267456,126062,141394,85744,47515,38229,181712,78547,103165,
