JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 6,332     "," 3,031     "," 3,301     "," 2,454     "," 3,878     ", 3.76     , 3.90     , 3.64     ,
ARAD," 4,486     "," 2,473     "," 2,013     "," 2,509     "," 1,977     ", 2.12     , 2.66     , 1.69     ,
ARGES," 9,875     "," 4,952     "," 4,923     "," 4,285     "," 5,590     ", 3.81     , 4.10     , 3.56     ,
BACAU," 12,516     "," 5,241     "," 7,275     "," 2,686     "," 9,830     ", 5.87     , 5.61     , 6.08     ,
BIHOR," 6,280     "," 3,599     "," 2,681     "," 3,790     "," 2,490     ", 2.38     , 2.95     , 1.88     ,
BISTRITA NASAUD," 4,613     "," 2,362     "," 2,251     "," 2,348     "," 2,265     ", 3.59     , 4.07     , 3.20     ,
BOTOSANI," 3,888     "," 1,768     "," 2,120     "," 1,361     "," 2,527     ", 2.83     , 2.70     , 2.95     ,
BRAILA," 5,265     "," 2,207     "," 3,058     "," 1,170     "," 4,095     ", 4.31     , 4.00     , 4.56     ,
BRASOV," 6,551     "," 3,095     "," 3,456     "," 1,975     "," 4,576     ", 2.49     , 2.75     , 2.30     ,
BUZAU," 10,295     "," 4,103     "," 6,192     "," 2,346     "," 7,949     ", 6.00     , 5.13     , 6.75     ,
CALARASI," 3,252     "," 1,571     "," 1,681     ", 962     ," 2,290     ", 3.56     , 3.56     , 3.56     ,
CARA?-SEVERIN," 3,760     "," 1,765     "," 1,995     "," 1,631     "," 2,129     ", 3.53     , 3.75     , 3.36     ,
CLUJ," 6,129     "," 3,326     "," 2,803     "," 2,732     "," 3,397     ", 1.64     , 2.02     , 1.34     ,
CONSTANTA," 8,170     "," 4,792     "," 3,378     "," 3,760     "," 4,410     ", 2.77     , 3.74     , 2.03     ,
COVASNA," 4,153     "," 2,034     "," 2,119     "," 1,064     "," 3,089     ", 4.84     , 4.97     , 4.72     ,
DAMBOVITA," 5,956     "," 2,849     "," 3,107     "," 1,652     "," 4,304     ", 3.09     , 3.47     , 2.82     ,
DOLJ," 18,384     "," 7,845     "," 10,539     "," 3,041     "," 15,343     ", 6.91     , 6.48     , 7.26     ,
GALATI," 11,622     "," 5,012     "," 6,610     "," 2,379     "," 9,243     ", 6.12     , 5.84     , 6.34     ,
GIURGIU," 2,235     "," 1,170     "," 1,065     ", 739     ," 1,496     ", 2.78     , 3.15     , 2.46     ,
GORJ," 5,108     "," 2,373     "," 2,735     "," 2,025     "," 3,083     ", 3.78     , 3.78     , 3.77     ,
HARGHITA," 6,023     "," 3,003     "," 3,020     "," 2,377     "," 3,646     ", 4.46     , 5.05     , 3.99     ,
HUNEDOARA," 5,743     "," 3,174     "," 2,569     "," 3,262     "," 2,481     ", 3.35     , 3.95     , 2.81     ,
IALOMITA," 4,627     "," 2,070     "," 2,557     "," 1,526     "," 3,101     ", 4.93     , 4.78     , 5.06     ,
IASI," 9,676     "," 4,357     "," 5,319     "," 2,055     "," 7,621     ", 3.25     , 3.13     , 3.37     ,
ILFOV," 1,439     ", 886     , 553     , 930     , 509     , 0.69     , 1.00     , 0.46     ,
MARAMURES," 4,100     "," 2,054     "," 2,046     "," 2,091     "," 2,009     ", 2.03     , 2.21     , 1.88     ,
MEHEDINTI," 6,277     "," 2,764     "," 3,513     "," 1,669     "," 4,608     ", 6.15     , 5.82     , 6.45     ,
MUN. BUC.," 14,974     "," 8,127     "," 6,847     "," 4,601     "," 10,373     ", 1.21     , 1.32     , 1.10     ,
MURES," 6,703     "," 3,098     "," 3,605     "," 2,052     "," 4,651     ", 2.84     , 2.95     , 2.76     ,
NEAMT," 9,119     "," 4,018     "," 5,101     "," 2,424     "," 6,695     ", 5.01     , 4.83     , 5.16     ,
OLT," 9,391     "," 4,266     "," 5,125     "," 2,290     "," 7,101     ", 5.83     , 5.76     , 5.88     ,
PRAHOVA," 8,442     "," 4,357     "," 4,085     "," 4,169     "," 4,273     ", 2.90     , 3.53     , 2.44     ,
SALAJ," 5,288     "," 2,408     "," 2,880     "," 1,541     "," 3,747     ", 5.11     , 5.32     , 4.96     ,
SATU M.," 5,042     "," 2,358     "," 2,684     ", 855     ," 4,187     ", 3.45     , 3.50     , 3.40     ,
SIBIU," 4,893     "," 2,359     "," 2,534     "," 2,237     "," 2,656     ", 2.49     , 2.76     , 2.28     ,
SUCEAVA," 11,353     "," 5,024     "," 6,329     "," 4,869     "," 6,484     ", 4.90     , 4.74     , 5.04     ,
TELEORMAN," 9,496     "," 3,993     "," 5,503     "," 1,794     "," 7,702     ", 6.76     , 5.83     , 7.65     ,
TIMIS," 4,180     "," 2,311     "," 1,869     "," 2,404     "," 1,776     ", 1.19     , 1.49     , 0.96     ,
TULCEA," 2,841     "," 1,362     "," 1,479     ", 976     ," 1,865     ", 3.43     , 3.52     , 3.35     ,
VALCEA," 6,049     "," 2,996     "," 3,053     "," 2,754     "," 3,295     ", 3.75     , 4.15     , 3.43     ,
VASLUI," 10,431     "," 4,433     "," 5,998     "," 1,910     "," 8,521     ", 7.81     , 6.85     , 8.72     ,
VRANCEA," 6,015     "," 2,616     "," 3,399     "," 1,285     "," 4,730     ", 4.41     , 4.10     , 4.68     ,
Total ," 290,972     "," 137,602     "," 153,370     "," 94,980     "," 195,992     ", 3.33     , 3.43     , 3.24     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
