judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,6332,600,372,1265,1730,1262,1103
ARAD,4486,384,177,677,1294,1049,905
ARGES,9875,725,512,1803,2880,2214,1741
BACAU,12516,1497,609,1891,3267,2420,2832
BIHOR,6280,590,367,1176,1939,1170,1038
BISTRITA NASAUD,4613,683,257,734,1174,922,843
BOTOSANI,3888,391,130,520,1071,811,965
BRAILA,5265,529,224,839,1536,969,1168
BRASOV,6551,811,392,1310,1636,1153,1249
BUZAU,10295,793,430,1571,2938,2278,2285
CALARASI,3252,138,185,588,612,663,1066
CARAS-SEVERIN,3760,459,174,593,981,786,767
CLUJ,6129,723,355,1184,1556,1280,1031
CONSTANTA,8170,776,349,1305,2212,1775,1753
COVASNA,4153,753,297,904,1073,598,528
DAMBOVITA,5956,706,344,902,1510,1330,1164
DOLJ,18384,1660,966,3135,5220,3746,3657
GALATI,11622,943,416,1675,3456,2298,2834
GIURGIU,2235,311,125,319,528,477,475
GORJ,5108,501,251,792,1383,1221,960
HARGHITA,6023,722,331,1265,1725,1123,857
HUNEDOARA,5743,586,299,903,1595,1433,927
IALOMITA,4627,438,181,674,1353,915,1066
IASI,9676,771,260,1383,2783,2063,2416
ILFOV,1439,97,58,266,486,324,208
MARAMURES,4100,800,257,686,1043,751,563
MEHEDINTI,6277,509,280,969,1756,1414,1349
MUNICIPIUL BUCURESTI,14974,288,1382,3549,4287,3083,2385
MURES,6703,1101,398,1344,1815,984,1061
NEAMT,9119,1003,402,1409,2487,1900,1918
OLT,9391,816,330,1326,2696,2101,2122
PRAHOVA,8442,876,333,1426,2385,2029,1393
SALAJ,5288,798,314,1142,1359,899,776
SATU-MARE,5042,720,338,1142,1461,713,668
SIBIU,4893,407,297,998,1388,861,942
SUCEAVA,11353,1745,641,2071,3030,1856,2010
TELEORMAN,9496,910,491,1554,2553,2052,1936
TIMIS,4180,558,242,705,1043,726,906
TULCEA,2841,373,180,503,707,569,509
VALCEA,6049,662,268,921,1660,1443,1095
VASLUI ,10431,659,333,1585,3310,2366,2178
VRANCEA,6015,677,284,979,1539,1272,1264
TOTAL,290972,29489,14831,49983,80457,59299,56913
