JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,815     "," 2,361     "," 2,454     "," 1,595     "," 3,220     ", 2.85     , 3.02     , 2.70     ,
ARAD," 3,540     "," 1,852     "," 1,688     "," 1,372     "," 2,168     ", 1.69     , 1.91     , 1.50     ,
ARGES," 8,254     "," 4,012     "," 4,242     "," 2,656     "," 5,598     ", 3.23     , 3.35     , 3.12     ,
BACAU," 11,881     "," 4,901     "," 6,980     "," 1,660     "," 10,221     ", 5.53     , 5.20     , 5.78     ,
BIHOR," 3,864     "," 2,145     "," 1,719     "," 1,801     "," 2,063     ", 1.46     , 1.79     , 1.18     ,
BISTRITA NASAUD," 4,044     "," 2,110     "," 1,934     "," 1,522     "," 2,522     ", 3.12     , 3.73     , 2.65     ,
BOTOSANI," 2,944     "," 1,364     "," 1,580     ", 704     ," 2,240     ", 2.15     , 2.13     , 2.18     ,
BRAILA," 3,932     "," 1,647     "," 2,285     ", 597     ," 3,335     ", 3.23     , 3.03     , 3.39     ,
BRASOV," 5,934     "," 2,781     "," 3,153     "," 1,097     "," 4,837     ", 2.27     , 2.49     , 2.10     ,
BUZAU," 9,373     "," 3,894     "," 5,479     "," 1,505     "," 7,868     ", 5.47     , 4.94     , 5.93     ,
CALARASI," 3,030     "," 1,579     "," 1,451     ", 656     ," 2,374     ", 3.36     , 3.64     , 3.09     ,
CARA?-SEVERIN," 3,036     "," 1,390     "," 1,646     "," 1,120     "," 1,916     ", 2.87     , 3.03     , 2.74     ,
CLUJ," 4,756     "," 2,530     "," 2,226     "," 1,562     "," 3,194     ", 1.27     , 1.54     , 1.06     ,
CONSTANTA," 5,360     "," 2,860     "," 2,500     "," 1,484     "," 3,876     ", 1.81     , 2.23     , 1.49     ,
COVASNA," 3,472     "," 1,666     "," 1,806     ", 620     ," 2,852     ", 4.08     , 4.20     , 3.97     ,
DAMBOVITA," 5,412     "," 2,565     "," 2,847     "," 1,307     "," 4,105     ", 2.80     , 3.22     , 2.50     ,
DOLJ," 15,452     "," 6,591     "," 8,861     "," 2,246     "," 13,206     ", 5.79     , 5.47     , 6.05     ,
GALATI," 10,780     "," 4,628     "," 6,152     "," 1,434     "," 9,346     ", 5.73     , 5.47     , 5.95     ,
GIURGIU," 2,151     "," 1,108     "," 1,043     ", 500     ," 1,651     ", 2.66     , 2.99     , 2.38     ,
GORJ," 4,218     "," 2,014     "," 2,204     "," 1,412     "," 2,806     ", 3.11     , 3.22     , 3.02     ,
HARGHITA," 4,665     "," 2,281     "," 2,384     "," 1,233     "," 3,432     ", 3.43     , 3.87     , 3.10     ,
HUNEDOARA," 6,275     "," 3,043     "," 3,232     "," 3,140     "," 3,135     ", 3.67     , 3.83     , 3.53     ,
IALOMITA," 4,009     "," 1,811     "," 2,198     ", 814     ," 3,195     ", 4.30     , 4.25     , 4.34     ,
IASI," 8,533     "," 3,730     "," 4,803     "," 1,146     "," 7,387     ", 2.86     , 2.74     , 2.96     ,
ILFOV," 1,113     ", 662     , 451     , 549     , 564     , 0.53     , 0.74     , 0.37     ,
MARAMURES," 4,460     "," 2,348     "," 2,112     "," 1,629     "," 2,831     ", 2.23     , 2.58     , 1.94     ,
MEHEDINTI," 5,793     "," 2,474     "," 3,319     ", 995     ," 4,798     ", 5.74     , 5.25     , 6.16     ,
MUN. BUC.," 14,445     "," 7,706     "," 6,739     "," 2,948     "," 11,497     ", 1.18     , 1.26     , 1.09     ,
MURES," 5,606     "," 2,681     "," 2,925     "," 1,441     "," 4,165     ", 2.38     , 2.65     , 2.18     ,
NEAMT," 6,935     "," 3,124     "," 3,811     "," 1,278     "," 5,657     ", 3.83     , 3.88     , 3.78     ,
OLT," 8,106     "," 3,622     "," 4,484     "," 1,250     "," 6,856     ", 5.06     , 5.00     , 5.11     ,
PRAHOVA," 6,384     "," 3,316     "," 3,068     "," 2,552     "," 3,832     ", 2.19     , 2.72     , 1.81     ,
SALAJ," 4,663     "," 2,093     "," 2,570     "," 1,024     "," 3,639     ", 4.48     , 4.58     , 4.40     ,
SATU M.," 4,568     "," 2,081     "," 2,487     ", 655     ," 3,913     ", 3.13     , 3.08     , 3.17     ,
SIBIU," 3,617     "," 1,686     "," 1,931     "," 1,275     "," 2,342     ", 1.84     , 1.96     , 1.75     ,
SUCEAVA," 10,098     "," 4,546     "," 5,552     "," 2,668     "," 7,430     ", 4.39     , 4.38     , 4.41     ,
TELEORMAN," 8,713     "," 3,685     "," 5,028     "," 1,279     "," 7,434     ", 6.25     , 5.52     , 6.91     ,
TIMIS," 3,011     "," 1,693     "," 1,318     "," 1,690     "," 1,321     ", 0.86     , 1.08     , 0.68     ,
TULCEA," 2,336     "," 1,165     "," 1,171     ", 501     ," 1,835     ", 2.82     , 3.05     , 2.63     ,
VALCEA," 4,877     "," 2,407     "," 2,470     "," 1,803     "," 3,074     ", 3.01     , 3.38     , 2.72     ,
VASLUI," 8,896     "," 3,780     "," 5,116     "," 1,191     "," 7,705     ", 6.78     , 5.86     , 7.67     ,
VRANCEA," 5,800     "," 2,539     "," 3,261     ", 885     ," 4,915     ", 4.25     , 3.97     , 4.50     ,
Total ," 249,151     "," 116,471     "," 132,680     "," 58,796     "," 190,355     ", 2.85     , 2.93     , 2.79     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
