JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,379     "," 2,416     "," 2,963     "," 1,484     "," 3,895     ", 3.18     , 3.09     , 3.26     ,
ARAD," 2,669     "," 1,343     "," 1,326     "," 1,044     "," 1,625     ", 1.27     , 1.39     , 1.18     ,
ARGES," 7,905     "," 3,742     "," 4,163     "," 2,191     "," 5,714     ", 3.09     , 3.12     , 3.06     ,
BACAU," 6,623     "," 2,768     "," 3,855     "," 1,443     "," 5,180     ", 3.08     , 2.94     , 3.19     ,
BIHOR," 3,224     "," 1,606     "," 1,618     "," 1,274     "," 1,950     ", 1.22     , 1.34     , 1.11     ,
BISTRITA NASAUD," 4,040     "," 1,909     "," 2,131     "," 1,715     "," 2,325     ", 3.12     , 3.38     , 2.92     ,
BOTOSANI," 2,855     "," 1,239     "," 1,616     ", 714     ," 2,141     ", 2.09     , 1.93     , 2.23     ,
BRAILA," 3,544     "," 1,421     "," 2,123     ", 549     ," 2,995     ", 2.91     , 2.61     , 3.15     ,
BRASOV," 5,270     "," 2,479     "," 2,791     "," 1,052     "," 4,218     ", 2.02     , 2.22     , 1.86     ,
BUZAU," 8,086     "," 3,330     "," 4,756     "," 1,338     "," 6,748     ", 4.72     , 4.23     , 5.15     ,
CALARASI," 2,919     "," 1,386     "," 1,533     ", 428     ," 2,491     ", 3.23     , 3.19     , 3.27     ,
CARA?-SEVERIN," 2,296     "," 1,027     "," 1,269     "," 1,011     "," 1,285     ", 2.17     , 2.24     , 2.12     ,
CLUJ," 4,380     "," 2,237     "," 2,143     "," 1,229     "," 3,151     ", 1.17     , 1.36     , 1.02     ,
CONSTANTA," 6,112     "," 3,727     "," 2,385     "," 2,492     "," 3,620     ", 2.07     , 2.91     , 1.43     ,
COVASNA," 3,647     "," 1,782     "," 1,865     ", 529     ," 3,118     ", 4.28     , 4.49     , 4.10     ,
DAMBOVITA," 4,490     "," 2,157     "," 2,333     "," 1,055     "," 3,435     ", 2.32     , 2.71     , 2.05     ,
DOLJ," 15,785     "," 6,610     "," 9,175     "," 1,815     "," 13,970     ", 5.91     , 5.49     , 6.26     ,
GALATI," 10,710     "," 4,763     "," 5,947     "," 1,163     "," 9,547     ", 5.70     , 5.63     , 5.75     ,
GIURGIU," 1,961     "," 1,025     ", 936     , 350     ," 1,611     ", 2.43     , 2.77     , 2.14     ,
GORJ," 4,086     "," 1,962     "," 2,124     "," 1,408     "," 2,678     ", 3.02     , 3.14     , 2.91     ,
HARGHITA," 4,721     "," 2,076     "," 2,645     "," 1,210     "," 3,511     ", 3.47     , 3.52     , 3.44     ,
