JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5429,436,965,1819,1154,48,754,253
ARAD,1666,348,261,410,338,35,163,111
ARGES,8254,435,1957,2635,1431,126,1334,336
BACAU,6850,450,1002,2358,1780,74,976,210
BIHOR,3348,300,725,788,690,67,447,331
BISTRITA,4093,258,603,1196,1014,51,731,240
BOTOSANI,2896,113,673,1043,488,27,463,89
BRAILA,3613,633,845,1193,368,48,401,125
BRASOV,4902,730,1331,1418,639,55,472,257
BUZAU,8195,787,1838,2817,1225,72,1328,128
CALARASI,2866,349,756,883,508,34,293,43
CARAS,2414,331,341,497,678,64,349,154
CLUJ,4473,631,770,1106,810,89,702,365
CONSTANTA,6117,774,928,1671,1391,74,913,366
COVASNA,3359,470,1193,810,528,19,277,62
DAMBOVITA,4601,438,984,1576,791,34,632,146
DOLJ,15649,957,4975,4739,2946,108,1603,321
GALATI,10710,1119,2446,4087,1338,78,1314,328
GIURGIU,1906,166,321,678,569,13,112,47
GORJ,4256,0,443,1338,1217,73,900,285
HARGHITA,4842,769,1405,1001,926,40,569,132
HUNEDOARA,6723,444,661,1662,1945,198,1194,619
IALOMITA,4163,366,1051,1426,572,26,663,59
IASI,8155,588,1642,2641,1186,66,1804,228
ILFOV,789,110,217,169,148,4,67,74
MARAMURES,3564,120,800,808,926,116,562,232
MEHEDINTI,5592,630,993,2186,945,64,679,95
MUN. BUC.,13919,20,129,2461,5177,436,2364,3332
MURES,5238,676,1970,1172,630,55,569,166
NEAMT,5895,522,853,1992,1133,70,1143,182
OLT,7556,650,901,2878,1572,88,1325,142
PRAHOVA,5970,580,973,1616,1238,78,1126,359
SALAJ,4450,426,1453,1220,635,45,526,145
SATU M.,4661,743,1816,1410,310,13,304,65
SIBIU,3602,375,1185,813,476,40,508,205
SUCEAVA,10263,1053,2136,3363,1497,124,1782,308
TELEORMAN,8804,773,1477,4117,1267,52,996,122
TIMIS,2734,314,266,555,694,48,360,497
TULCEA,2404,0,680,729,553,0,386,56
VALCEA,4963,172,492,1401,1382,113,1105,298
VASLUI,8951,437,2231,3720,1164,50,1266,83
VRANCEA,5237,337,1528,1877,823,70,518,84
Total general,234072,19830,48216,72279,45102,2985,33980,11680
