JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,783     "," 2,297     "," 2,486     "," 1,086     "," 3,697     ", 2.83     , 2.94     , 2.73     ,
ARAD," 2,301     "," 1,219     "," 1,082     ", 776     ," 1,525     ", 1.10     , 1.26     , 0.96     ,
ARGES," 7,759     "," 3,797     "," 3,962     "," 1,718     "," 6,041     ", 3.03     , 3.17     , 2.92     ,
BACAU," 6,163     "," 2,620     "," 3,543     "," 1,131     "," 5,032     ", 2.87     , 2.78     , 2.93     ,
BIHOR," 2,814     "," 1,491     "," 1,323     ", 973     ," 1,841     ", 1.06     , 1.25     , 0.91     ,
BISTRITA NASAUD," 4,016     "," 1,983     "," 2,033     "," 1,454     "," 2,562     ", 3.10     , 3.51     , 2.78     ,
BOTOSANI," 3,084     "," 1,461     "," 1,623     ", 556     ," 2,528     ", 2.26     , 2.28     , 2.24     ,
BRAILA," 3,226     "," 1,348     "," 1,878     ", 313     ," 2,913     ", 2.65     , 2.48     , 2.78     ,
BRASOV," 5,069     "," 2,488     "," 2,581     ", 761     ," 4,308     ", 1.94     , 2.23     , 1.72     ,
BUZAU," 8,396     "," 3,605     "," 4,791     ", 944     ," 7,452     ", 4.90     , 4.57     , 5.19     ,
CALARASI," 3,211     "," 1,547     "," 1,664     ", 472     ," 2,739     ", 3.56     , 3.56     , 3.55     ,
CARA?-SEVERIN," 2,323     "," 1,082     "," 1,241     ", 811     ," 1,512     ", 2.19     , 2.36     , 2.07     ,
CLUJ," 4,002     "," 2,033     "," 1,969     ", 892     ," 3,110     ", 1.07     , 1.24     , 0.93     ,
CONSTANTA," 4,617     "," 2,573     "," 2,044     ", 975     ," 3,642     ", 1.56     , 2.01     , 1.22     ,
COVASNA," 3,462     "," 1,691     "," 1,771     ", 330     ," 3,132     ", 4.06     , 4.26     , 3.89     ,
DAMBOVITA," 4,968     "," 2,470     "," 2,498     ", 806     ," 4,162     ", 2.57     , 3.10     , 2.20     ,
DOLJ," 14,843     "," 6,397     "," 8,446     "," 1,407     "," 13,436     ", 5.56     , 5.31     , 5.77     ,
GALATI," 10,428     "," 4,677     "," 5,751     ", 842     ," 9,586     ", 5.55     , 5.53     , 5.56     ,
GIURGIU," 1,914     "," 1,041     ", 873     , 271     ," 1,643     ", 2.37     , 2.81     , 1.99     ,
GORJ," 3,594     "," 1,743     "," 1,851     ", 951     ," 2,643     ", 2.65     , 2.79     , 2.54     ,
HARGHITA," 4,551     "," 2,112     "," 2,439     ", 747     ," 3,804     ", 3.35     , 3.58     , 3.17     ,
HUNEDOARA," 6,330     "," 3,205     "," 3,125     "," 2,499     "," 3,831     ", 3.70     , 4.04     , 3.41     ,
IALOMITA," 3,467     "," 1,584     "," 1,883     ", 507     ," 2,960     ", 3.72     , 3.72     , 3.72     ,
IASI," 7,834     "," 3,467     "," 4,367     ", 667     ," 7,167     ", 2.63     , 2.55     , 2.70     ,
ILFOV, 892     , 512     , 380     , 278     , 614     , 0.42     , 0.58     , 0.31     ,
MARAMURES," 3,345     "," 1,698     "," 1,647     ", 888     ," 2,457     ", 1.67     , 1.87     , 1.51     ,
MEHEDINTI," 5,178     "," 2,185     "," 2,993     ", 650     ," 4,528     ", 5.13     , 4.64     , 5.55     ,
MUN. BUC.," 13,437     "," 7,109     "," 6,328     "," 1,309     "," 12,128     ", 1.10     , 1.16     , 1.03     ,
MURES," 5,605     "," 2,559     "," 3,046     ", 788     ," 4,817     ", 2.38     , 2.53     , 2.27     ,
NEAMT," 5,660     "," 2,530     "," 3,130     ", 830     ," 4,830     ", 3.12     , 3.14     , 3.11     ,
OLT," 7,078     "," 3,130     "," 3,948     ", 747     ," 6,331     ", 4.42     , 4.32     , 4.50     ,
PRAHOVA," 5,649     "," 2,892     "," 2,757     "," 1,536     "," 4,113     ", 1.94     , 2.37     , 1.63     ,
SALAJ," 4,250     "," 1,861     "," 2,389     ", 620     ," 3,630     ", 4.08     , 4.07     , 4.09     ,
SATU M.," 4,315     "," 1,961     "," 2,354     ", 426     ," 3,889     ", 2.95     , 2.90     , 3.00     ,
SIBIU," 3,271     "," 1,544     "," 1,727     ", 754     ," 2,517     ", 1.66     , 1.80     , 1.56     ,
SUCEAVA," 10,093     "," 4,334     "," 5,759     "," 2,253     "," 7,840     ", 4.39     , 4.17     , 4.57     ,
TELEORMAN," 8,178     "," 3,376     "," 4,802     ", 814     ," 7,364     ", 5.86     , 5.06     , 6.60     ,
TIMIS," 2,457     "," 1,291     "," 1,166     ", 896     ," 1,561     ", 0.70     , 0.83     , 0.60     ,
TULCEA," 2,440     "," 1,226     "," 1,214     ", 442     ," 1,998     ", 2.95     , 3.21     , 2.73     ,
VALCEA," 4,249     "," 2,141     "," 2,108     "," 1,487     "," 2,762     ", 2.62     , 3.01     , 2.32     ,
VASLUI," 8,477     "," 3,532     "," 4,945     ", 627     ," 7,850     ", 6.46     , 5.48     , 7.41     ,
VRANCEA," 4,983     "," 2,203     "," 2,780     ", 467     ," 4,516     ", 3.65     , 3.45     , 3.83     ,
Total ," 222,712     "," 104,015     "," 118,697     "," 37,701     "," 185,011     ", 2.55     , 2.62     , 2.49     ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
