JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 4,814     "," 2,277     "," 2,537     "," 1,108     "," 3,706     ", 2.85     , 2.91     , 2.79     ,
ARAD," 2,356     "," 1,206     "," 1,150     ", 781     ," 1,575     ", 1.12     , 1.24     , 1.02     ,
ARGES," 7,731     "," 3,732     "," 3,999     "," 1,785     "," 5,946     ", 3.02     , 3.11     , 2.94     ,
BACAU," 6,212     "," 2,616     "," 3,596     "," 1,076     "," 5,136     ", 2.89     , 2.78     , 2.98     ,
BIHOR," 2,892     "," 1,522     "," 1,370     "," 1,064     "," 1,828     ", 1.09     , 1.27     , 0.94     ,
BISTRITA NASAUD," 3,958     "," 1,945     "," 2,013     "," 1,499     "," 2,459     ", 3.06     , 3.44     , 2.76     ,
BOTOSANI," 2,965     "," 1,380     "," 1,585     ", 596     ," 2,369     ", 2.17     , 2.15     , 2.18     ,
BRAILA," 3,268     "," 1,345     "," 1,923     ", 334     ," 2,934     ", 2.68     , 2.47     , 2.85     ,
BRASOV," 5,097     "," 2,487     "," 2,610     ", 740     ," 4,357     ", 1.95     , 2.23     , 1.74     ,
BUZAU," 8,196     "," 3,476     "," 4,720     "," 1,002     "," 7,194     ", 4.79     , 4.41     , 5.11     ,
CALARASI," 3,143     "," 1,517     "," 1,626     ", 493     ," 2,650     ", 3.48     , 3.50     , 3.47     ,
CARA?-SEVERIN," 2,287     "," 1,070     "," 1,217     ", 821     ," 1,466     ", 2.16     , 2.33     , 2.03     ,
CLUJ," 4,121     "," 2,084     "," 2,037     ", 996     ," 3,125     ", 1.10     , 1.27     , 0.97     ,
CONSTANTA," 4,536     "," 2,540     "," 1,996     "," 1,157     "," 3,379     ", 1.54     , 1.98     , 1.19     ,
COVASNA," 3,667     "," 1,799     "," 1,868     ", 350     ," 3,317     ", 4.30     , 4.53     , 4.11     ,
DAMBOVITA," 4,895     "," 2,389     "," 2,506     ", 798     ," 4,097     ", 2.53     , 3.00     , 2.20     ,
DOLJ," 14,819     "," 6,334     "," 8,485     "," 1,495     "," 13,324     ", 5.55     , 5.26     , 5.79     ,
GALATI," 10,337     "," 4,632     "," 5,705     ", 865     ," 9,472     ", 5.50     , 5.48     , 5.52     ,
GIURGIU," 1,915     "," 1,022     ", 893     , 281     ," 1,634     ", 2.37     , 2.76     , 2.04     ,
GORJ," 3,563     "," 1,719     "," 1,844     "," 1,018     "," 2,545     ", 2.63     , 2.75     , 2.53     ,
