JUDET ,NUMAR TOTAL SOMERI ,NUMAR TOTAL SOMERI FEMEI  ,NUMAR TOTAL SOMERI BARBATI ,NUMAR TOTAL SOMERI DIN MEDIUL URBAN ,NUMAR SOMERI FEMEI DIN MEDIUL URBAN ,NUMAR SOMERI BARBATI DIN MEDIUL URBAN ,NUMAR TOTAL SOMERI DIN MEDIUL RURAL ,NUMAR SOMERI FEMEI DIN MEDIUL RURAL ,NUMAR SOMERI BARBATI DIN MEDIUL RURAL ,
 ALBA,5170,2382,2788,1486,765,721,3684,1617,2067,
 ARAD,2623,1332,1291,897,509,388,1726,823,903,
 ARGES,7834,3775,4059,1169,701,468,6665,3074,3591,
 BACAU,6610,2775,3835,2024,965,1059,4586,1810,2776,
 BIHOR,3087,1562,1525,842,478,364,2245,1084,1161,
 BISTRITA-NASAUD,4226,2032,2194,1265,717,548,2961,1315,1646,
 BOTOSANI,2826,1278,1548,862,426,436,1964,852,1112,
 BRAILA,3482,1429,2053,778,385,393,2704,1044,1660,
 BRASOV,5410,2634,2776,1401,782,619,4009,1852,2157,
 BUZAU,8060,3354,4706,1421,753,668,6639,2601,4038,
 CALARASI,2963,1405,1558,795,359,436,2168,1046,1122,
 CARAS-SEVERIN,2325,1064,1261,936,453,483,1389,611,778,
 CLUJ,4287,2166,2121,1671,1015,656,2616,1151,1465,
 CONSTANTA,5961,3586,2375,2596,1774,822,3365,1812,1553,
 COVASNA,3781,1841,1940,788,414,374,2993,1427,1566,
 DAMBOVITA,4702,2306,2396,693,392,301,4009,1914,2095,
 DOLJ,15599,6563,9036,1971,1023,948,13628,5540,8088,
 GALATI,10537,4729,5808,1605,876,729,8932,3853,5079,
 GIURGIU,1921,1011,910,439,266,173,1482,745,737,
 GORJ,3902,1892,2010,1158,667,491,2744,1225,1519,
 HARGHITA,4633,2073,2560,1280,648,632,3353,1425,1928,
 HUNEDOARA,6634,3281,3353,4398,2199,2199,2236,1082,1154,
 IALOMITA,3827,1720,2107,979,487,492,2848,1233,1615,
 IASI,8137,3553,4584,1253,663,590,6884,2890,3994,
 ILFOV,897,531,366,161,104,57,736,427,309,
 MARAMURES,3456,1734,1722,1670,849,821,1786,885,901,
 MEHEDINTI,5450,2330,3120,802,444,358,4648,1886,2762,
 MURES,5470,2494,2976,1377,701,676,4093,1793,2300,
 NEAMT,5648,2463,3185,962,490,472,4686,1973,2713,
 OLT,7248,3139,4109,1414,739,675,5834,2400,3434,
 PRAHOVA,5913,2937,2976,1811,1009,802,4102,1928,2174,
 SALAJ,4289,1790,2499,734,386,348,3555,1404,2151,
 SATU MARE,4507,1974,2533,746,360,386,3761,1614,2147,
 SIBIU,3458,1568,1890,993,459,534,2465,1109,1356,
 SUCEAVA,10272,4261,6011,2635,1158,1477,7637,3103,4534,
 TELEORMAN,8069,3208,4861,1600,720,880,6469,2488,3981,
 TIMIS,2371,1263,1108,1041,591,450,1330,672,658,
 TULCEA,2509,1162,1347,603,322,281,1906,840,1066,
 VALCEA,4621,2302,2319,1338,758,580,3283,1544,1739,
 VASLUI,8880,3630,5250,1163,597,566,7717,3033,4684,
 VRANCEA,5045,2167,2878,782,389,393,4263,1778,2485,
BUCURESTI,13648,7210,6438,13648,7210,6438,0,0,0,
Total TARA ,230288,105906,124382,66187,35003,31184,164101,70903,93198,
