JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5170,419,933,1786,1072,44,699,217
ARAD,2623,512,404,729,515,31,280,152
ARGES,7834,420,1989,2580,1256,110,1175,304
BACAU,6610,428,1063,2338,1637,66,883,195
BIHOR,3087,266,662,748,616,53,456,286
BISTRITA,4226,254,565,1390,1006,54,730,227
BOTOSANI,2826,125,585,1171,421,24,421,79
BRAILA,3482,663,797,1163,345,44,360,110
BRASOV,5410,809,1508,1730,614,35,474,240
BUZAU,8060,808,1918,2867,1100,58,1191,118
CALARASI,2963,365,839,1023,382,21,300,33
CARAS,2325,325,353,505,608,56,335,143
CLUJ,4287,618,783,1064,742,77,669,334
CONSTANTA,5961,804,948,1580,1404,65,808,352
COVASNA,3781,446,1455,1016,505,17,289,53
DAMBOVITA,4702,457,1017,1770,742,31,559,126
DOLJ,15599,929,5002,4812,2849,101,1618,288
GALATI,10537,1130,2474,4057,1272,76,1197,331
GIURGIU,1921,174,530,685,378,12,99,43
GORJ,3902,0,428,1287,1026,66,841,254
HARGHITA,4633,767,1407,984,837,38,483,117
HUNEDOARA,6634,446,686,1670,1901,185,1180,566
IALOMITA,3827,361,1074,1360,436,19,530,47
IASI,8137,614,1646,2688,1137,57,1765,230
ILFOV,897,127,254,216,166,6,67,61
MARAMURES,3456,114,817,847,832,97,538,211
MEHEDINTI,5450,679,957,2204,866,56,612,76
MUN. BUC.,13648,20,134,2444,5065,448,2229,3308
MURES,5470,669,2212,1366,533,56,499,135
NEAMT,5648,493,806,2023,985,65,1095,181
OLT,7248,621,845,2878,1471,86,1228,119
PRAHOVA,5913,573,999,1766,1151,63,1048,313
SALAJ,4289,439,1503,1254,477,33,465,118
SATU M.,4507,740,1810,1377,240,10,283,47
SIBIU,3458,370,1192,850,390,31,436,189
SUCEAVA,10272,1093,2326,3507,1339,119,1583,305
TELEORMAN,8069,805,1397,3884,949,46,900,88
TIMIS,2371,339,253,502,539,32,339,367
TULCEA,2509,0,732,781,535,0,400,61
VALCEA,4621,162,441,1344,1300,92,1031,251
VASLUI,8880,454,2259,3792,1093,41,1170,71
VRANCEA,5045,333,1531,1876,677,64,476,88
Total general,230288,20171,49534,73914,41409,2685,31741,10834
