JUDET, Numar total someri , Numar total someri femei  , Numar total someri barbati  , Numar  someri indemnizati  , Numar someri neindemnizati ,  Rata somajului (%)  ,  Rata somajului Feminina (%)  ,  Rata somajului Masculina (%)  ,
ALBA ," 5,656     "," 2,690     "," 2,966     "," 1,199     "," 4,457     ", 3.75     , 3.88     , 3.64     ,
ARAD," 2,357     "," 1,250     "," 1,107     ", 808     ," 1,549     ", 1.24     , 1.51     , 1.03     ,
ARGES," 8,146     "," 3,863     "," 4,283     "," 1,693     "," 6,453     ", 3.59     , 3.74     , 3.46     ,
BACAU," 5,359     "," 2,377     "," 2,982     "," 1,308     "," 4,051     ", 2.89     , 3.02     , 2.79     ,
BIHOR," 2,959     "," 1,609     "," 1,350     "," 1,041     "," 1,918     ", 1.26     , 1.55     , 1.04     ,
BISTRITA NASAUD," 4,882     "," 2,497     "," 2,385     "," 1,399     "," 3,483     ", 4.34     , 5.13     , 3.74     ,
BOTOSANI," 3,376     "," 1,578     "," 1,798     ", 673     ," 2,703     ", 3.13     , 3.19     , 3.09     ,
BRAILA," 3,542     "," 1,573     "," 1,969     ", 370     ," 3,172     ", 3.29     , 3.27     , 3.31     ,
BRASOV," 5,808     "," 2,796     "," 3,012     ", 694     ," 5,114     ", 2.31     , 2.56     , 2.12     ,
BUZAU," 7,493     "," 3,153     "," 4,340     ", 842     ," 6,651     ", 5.28     , 4.99     , 5.51     ,
CALARASI," 3,641     "," 1,777     "," 1,864     ", 396     ," 3,245     ", 4.97     , 5.43     , 4.59     ,
CARA?-SEVERIN," 2,354     "," 1,120     "," 1,234     ", 874     ," 1,480     ", 2.60     , 2.99     , 2.32     ,
CLUJ," 4,344     "," 2,248     "," 2,096     ", 927     ," 3,417     ", 1.24     , 1.46     , 1.06     ,
CONSTANTA," 6,095     "," 3,832     "," 2,263     "," 2,229     "," 3,866     ", 2.24     , 3.34     , 1.43     ,
COVASNA," 3,200     "," 1,496     "," 1,704     ", 376     ," 2,824     ", 4.11     , 4.39     , 3.90     ,
DAMBOVITA," 4,653     "," 2,422     "," 2,231     ", 946     ," 3,707     ", 2.83     , 3.72     , 2.25     ,
DOLJ," 16,648     "," 7,301     "," 9,347     "," 1,491     "," 15,157     ", 7.40     , 7.41     , 7.39     ,
GALATI," 10,160     "," 4,656     "," 5,504     ", 977     ," 9,183     ", 6.13     , 6.39     , 5.92     ,
GIURGIU," 2,235     "," 1,241     ", 994     , 294     ," 1,941     ", 3.47     , 4.39     , 2.75     ,
GORJ," 4,242     "," 2,121     "," 2,121     "," 1,022     "," 3,220     ", 3.55     , 3.86     , 3.28     ,
HARGHITA," 5,249     "," 2,457     "," 2,792     "," 1,045     "," 4,204     ", 4.43     , 4.94     , 4.06     ,
