JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5469,326,873,1854,1338,39,841,198
ARAD,2297,444,253,619,522,30,259,170
ARGES,7985,400,2068,2694,1282,84,1214,243
BACAU,4752,296,872,1716,857,48,766,197
BIHOR,3056,237,610,772,739,48,414,236
BISTRITA,3980,281,513,1391,936,45,618,196
BOTOSANI,3405,131,584,1342,677,35,527,109
BRAILA,3400,458,781,1237,413,36,374,101
BRASOV,6540,766,1800,2144,980,43,560,247
BUZAU,7927,810,1808,2725,1250,32,1200,102
CALARASI,3691,504,1020,1223,568,32,290,54
CARAS,2153,259,343,562,611,27,249,102
CLUJ,3916,652,704,988,619,72,559,322
CONSTANTA,5289,764,935,1219,1497,46,548,280
COVASNA,4295,413,1214,874,1200,23,507,64
DAMBOVITA,4916,346,1003,1696,1092,35,621,123
DOLJ,16434,971,4662,5344,3345,117,1677,318
GALATI,9150,1126,1994,3596,1155,56,1014,209
GIURGIU,2262,261,321,863,653,3,126,35
GORJ,3783,0,440,1045,1223,76,789,210
HARGHITA,4651,801,1367,992,873,56,447,115
HUNEDOARA,6316,461,785,1710,1777,116,997,470
IALOMITA,3708,406,833,1376,528,16,512,37
IASI,8687,486,1725,2838,1010,64,2036,528
ILFOV,939,129,240,241,177,10,68,74
MARAMURES,3905,141,779,1034,852,83,659,357
MEHEDINTI,5651,618,941,2230,1126,43,595,98
MUN. BUC.,11592,19,66,2023,3838,242,2053,3351
MURES,5790,766,1827,1454,939,36,602,166
NEAMT,6370,513,1087,2263,878,54,1402,173
OLT,7055,579,822,2644,1572,83,1239,116
PRAHOVA,6443,409,1025,1810,1488,72,1283,356
SALAJ,4461,529,1373,1234,653,35,516,121
SATU M.,4457,715,1741,1309,310,15,296,71
SIBIU,4896,344,1383,1164,810,44,619,532
SUCEAVA,10051,931,2242,3428,1473,95,1585,297
TELEORMAN,8623,725,1570,3902,1434,46,847,99
TIMIS,2757,274,265,597,823,36,359,403
TULCEA,2657,0,250,1201,674,0,405,127
VALCEA,4393,157,563,1289,1255,47,880,202
VASLUI,8065,370,1853,3733,891,23,1130,65
VRANCEA,4378,301,1290,1625,687,36,379,60
Total general,230545,19119,46825,74001,45025,2179,32062,11334
