judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5431,881,494,882,1206,986,982
ARAD,2318,225,94,299,606,580,514
ARGES,8035,861,557,1410,2000,1686,1521
BACAU,4696,589,287,550,1148,1061,1061
BIHOR,2726,266,160,377,680,562,681
BISTRITA NASAUD,3663,538,215,453,840,666,951
BOTOSANI,3442,513,119,383,742,794,891
BRAILA,3362,442,188,478,821,548,885
BRASOV,6585,1696,586,1107,1257,962,977
BUZAU,7869,1034,307,1010,1756,1964,1798
CALARASI,3720,456,183,773,948,601,759
CARAS-SEVERIN,2055,185,110,279,484,465,532
CLUJ,3810,337,207,681,961,831,793
CONSTANTA,4737,1017,311,602,950,847,1010
COVASNA,3972,1649,358,515,617,455,378
DAMBOVITA,4738,751,433,685,1045,859,965
DOLJ,16361,2480,1131,2375,3955,3424,2996
GALATI,9284,1093,576,1090,2346,1719,2460
GIURGIU,2283,604,199,255,437,395,393
GORJ,3976,649,199,535,862,925,806
HARGHITA,4516,852,300,870,1050,734,710
HUNEDOARA,5804,721,484,867,1484,1312,936
IALOMITA,3713,586,251,435,831,645,965
IASI,8768,1007,426,1249,2208,1406,2472
ILFOV,922,200,60,120,204,182,156
MARAMURES,3786,499,282,714,986,690,615
MEHEDINTI,5859,710,368,690,1401,1368,1322
MUNICIPIUL BUCURESTI,12207,198,954,2899,3364,2741,2051
MURES,5858,1562,523,927,1240,685,921
NEAMT,6280,463,259,881,1658,1491,1528
OLT,7175,629,646,1049,1610,1569,1672
PRAHOVA,6225,1101,364,889,1429,1367,1075
SALAJ,4383,631,298,908,1088,762,696
SATU-MARE,4344,520,246,940,1242,752,644
SIBIU,4962,1021,378,940,1108,645,870
SUCEAVA,9911,1298,635,1853,2571,1494,2060
TELEORMAN,8311,928,555,1233,1978,1777,1840
TIMIS,2555,499,114,440,559,377,566
TULCEA,2544,466,302,410,446,490,430
VALCEA,4159,672,322,526,874,952,813
VASLUI ,8085,316,207,1046,2443,2094,1979
VRANCEA,4187,405,192,700,990,935,965
TOTAL,227617,31550,14880,35325,54425,44798,46639
