JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5383,322,875,1886,1295,45,755,205
ARAD,2226,440,257,613,456,26,265,169
ARGES,7961,412,2068,2766,1166,79,1212,258
BACAU,4982,296,854,1894,860,48,837,193
BIHOR,2800,245,601,713,569,50,393,229
BISTRITA,3619,314,519,1174,790,44,619,159
BOTOSANI,3191,139,605,1396,494,22,445,90
BRAILA,3235,446,783,1238,297,32,347,92
BRASOV,6348,809,1738,2132,890,33,502,244
BUZAU,7723,825,1836,2797,996,31,1142,96
CALARASI,3683,456,1029,1215,584,44,291,64
CARAS,2099,272,346,565,519,29,253,115
CLUJ,3959,684,733,1017,587,81,564,293
CONSTANTA,4747,732,826,1277,1212,36,429,235
COVASNA,3355,417,1170,858,608,21,245,36
DAMBOVITA,4844,367,1017,1738,967,40,587,128
DOLJ,16024,978,4749,5452,2722,107,1715,301
GALATI,9524,1167,2111,3832,1071,63,1075,205
GIURGIU,2079,267,357,862,435,6,118,34
GORJ,3912,0,452,1149,1172,63,864,212
HARGHITA,4712,800,1479,1085,759,60,401,128
HUNEDOARA,6037,464,769,1617,1623,149,964,451
IALOMITA,3799,385,844,1515,472,15,529,39
IASI,8644,493,1784,2868,920,68,2027,484
ILFOV,891,118,260,220,152,11,63,67
MARAMURES,4177,141,808,1168,884,93,695,388
MEHEDINTI,5722,691,980,2248,1054,44,607,98
MUN. BUC.,12227,19,66,2126,4126,273,2129,3488
MURES,5805,840,2049,1553,658,36,537,132
NEAMT,6509,558,1138,2331,897,45,1366,174
OLT,7004,607,856,2807,1389,58,1186,101
PRAHOVA,6081,440,1112,1801,1171,72,1159,326
SALAJ,4625,535,1458,1333,587,39,535,138
SATU M.,4446,755,1830,1270,249,11,271,60
SIBIU,4955,372,1548,1253,632,46,617,487
SUCEAVA,10293,1004,2392,3704,1267,99,1545,282
TELEORMAN,8424,730,1520,3872,1246,42,903,111
TIMIS,2375,282,281,524,585,34,289,380
TULCEA,2693,0,270,1174,697,0,418,134
VALCEA,4218,157,558,1298,1096,52,843,214
VASLUI,8466,402,1710,4224,876,35,1159,60
VRANCEA,4361,304,1379,1689,500,39,394,56
Total general,228158,19685,48017,76254,39530,2221,31295,11156
