judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5275,739,497,892,1208,992,947
ARAD,2261,141,95,320,619,571,515
ARGES,7926,695,551,1396,2039,1703,1542
BACAU,5026,574,295,636,1234,1184,1103
BIHOR,2810,278,196,412,647,556,721
BISTRITA NASAUD,3539,376,211,484,852,652,964
BOTOSANI,3211,249,122,381,787,771,901
BRAILA,3311,352,207,485,815,557,895
BRASOV,5990,1078,551,1140,1264,976,981
BUZAU,7441,590,304,1026,1809,1938,1774
CALARASI,3635,324,153,747,992,595,824
CARAS-SEVERIN,2110,213,113,293,497,509,485
CLUJ,4022,401,236,691,1018,871,805
CONSTANTA,4775,680,334,676,1073,722,1290
COVASNA,3013,730,304,513,624,386,456
DAMBOVITA,4898,780,469,732,1083,910,924
DOLJ,15730,1721,1115,2428,3980,3481,3005
GALATI,9729,1174,678,1182,2467,1777,2451
GIURGIU,2068,342,183,291,457,414,381
GORJ,3884,311,247,580,923,985,838
HARGHITA,4641,745,343,920,1133,775,725
HUNEDOARA,6086,724,490,896,1620,1381,975
IALOMITA,3881,493,271,509,920,691,997
IASI,8142,766,409,1178,2131,1367,2291
ILFOV,956,173,64,132,217,204,166
MARAMURES,4201,621,337,824,1051,738,630
MEHEDINTI,5727,541,377,698,1413,1402,1296
MUNICIPIUL BUCURESTI,12244,168,916,2776,3368,2906,2110
MURES,5695,1241,573,928,1258,754,941
NEAMT,6570,496,268,909,1769,1555,1573
OLT,7085,725,706,927,1626,1594,1507
PRAHOVA,5829,636,393,872,1461,1412,1055
SALAJ,4572,610,346,991,1142,785,698
SATU-MARE,4450,575,289,956,1258,720,652
SIBIU,4659,658,367,918,1117,683,916
SUCEAVA,10288,1205,693,2010,2713,1564,2103
TELEORMAN,8491,887,511,1321,2089,1904,1779
TIMIS,1974,141,103,363,491,374,502
TULCEA,2653,564,308,324,496,502,459
VALCEA,4219,502,374,549,913,1020,861
VASLUI ,8540,345,237,1149,2574,2241,1994
VRANCEA,4385,461,228,695,1068,979,954
TOTAL,225942,25025,15464,36150,56216,46101,46986
