JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar
ALBA ,5703,371,942,1883,1304,45,901,257
ARAD,2212,487,253,611,443,26,247,145
ARGES,8173,407,2184,2798,1265,89,1172,258
BACAU,4675,295,848,1651,816,54,797,214
BIHOR,3129,292,712,820,624,52,376,253
BISTRITA,3669,253,464,1220,857,69,619,187
BOTOSANI,3290,122,571,1356,573,56,529,83
BRAILA,3473,504,795,1219,388,47,418,102
BRASOV,6646,626,1522,2779,875,39,546,259
BUZAU,7733,852,1890,2743,915,40,1196,97
CALARASI,3855,553,1030,1271,607,29,305,60
CARAS,2362,233,415,619,613,48,303,131
CLUJ,4043,630,725,1035,643,87,603,320
CONSTANTA,6043,788,846,1531,1654,76,859,289
COVASNA,4180,435,1286,861,1060,30,439,69
DAMBOVITA,4848,350,1060,1675,983,55,589,136
DOLJ,16884,1052,4910,5536,3266,113,1718,289
GALATI,8967,1083,1952,3493,1138,58,1025,218
GIURGIU,2165,257,385,931,412,13,136,31
GORJ,3675,0,452,1042,1064,78,828,211
HARGHITA,4905,861,1491,1005,861,75,477,135
HUNEDOARA,7006,501,903,1873,1941,133,1115,540
IALOMITA,3718,408,817,1432,464,27,536,34
IASI,8192,451,1749,2763,865,67,2002,295
ILFOV,1009,106,270,296,172,7,88,70
MARAMURES,3859,149,908,1102,797,76,616,211
MEHEDINTI,5860,563,1024,2381,1121,54,616,101
MUNICIPIUL BUCURESTI,11087,20,67,1920,3542,227,2037,3274
MURES,6089,674,1993,1576,977,59,651,159
NEAMT,6964,582,1166,2437,959,75,1538,207
OLT,6972,566,841,2549,1550,104,1230,132
PRAHOVA,6666,431,1009,1911,1474,91,1389,361
SALAJ,4742,539,1495,1319,604,55,596,134
SATU-MARE,4666,759,1880,1400,269,18,272,68
SIBIU,4890,381,1545,1268,764,35,610,287
SUCEAVA,10529,960,2346,3684,1499,123,1596,321
TELEORMAN,8518,718,1473,3871,1457,45,845,109
TIMIS,2871,329,268,708,715,47,416,388
TULCEA,2567,0,429,1032,636,0,388,82
VALCEA,4873,161,585,1344,1503,66,996,218
VASLUI,8304,364,1920,3825,898,37,1193,67
VRANCEA,4469,295,1300,1723,677,35,376,63
Total general,234481,19408,48721,76493,43245,2560,33189,10865
