judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5703,1073,527,888,1213,1024,978
ARAD,2212,199,70,285,596,558,504
ARGES,8173,1124,564,1373,1914,1582,1616
BACAU,4675,686,294,511,1118,962,1104
BIHOR,3129,322,171,494,733,619,790
BISTRITA NASAUD,3669,650,216,449,791,618,945
BOTOSANI,3290,476,109,336,735,738,896
BRAILA,3473,491,165,452,820,575,970
BRASOV,6646,1638,585,1102,1365,940,1016
BUZAU,7733,667,298,1009,1887,1973,1899
CALARASI,3855,468,176,752,1020,619,820
CARAS-SEVERIN,2362,289,113,332,540,501,587
CLUJ,4043,432,220,707,1023,818,843
CONSTANTA,6043,1116,333,695,1322,916,1661
COVASNA,4180,1779,345,541,668,466,381
DAMBOVITA,4848,958,433,655,992,889,921
DOLJ,16884,2560,1210,2469,4064,3276,3305
GALATI,8967,1093,391,1065,2326,1676,2416
GIURGIU,2165,448,195,253,516,359,394
GORJ,3675,496,145,469,830,847,888
HARGHITA,4905,1053,331,949,1092,761,719
HUNEDOARA,7006,954,563,1051,1745,1520,1173
IALOMITA,3718,542,238,465,850,642,981
IASI,8192,794,325,1155,2152,1383,2383
ILFOV,1009,193,58,125,229,192,212
MARAMURES,3859,871,282,608,868,669,561
MEHEDINTI,5860,583,290,754,1439,1333,1461
MUNICIPIUL BUCURESTI,11087,266,901,2628,2918,2464,1910
MURES,6089,1650,574,946,1275,680,964
NEAMT,6964,651,289,965,1784,1564,1711
OLT,6972,797,652,886,1589,1487,1561
PRAHOVA,6666,1367,382,892,1473,1379,1173
SALAJ,4742,786,314,962,1154,766,760
SATU-MARE,4666,628,306,997,1304,754,677
SIBIU,4890,1104,368,825,1063,640,890
SUCEAVA,10529,1584,682,1879,2649,1538,2197
TELEORMAN,8518,1232,574,1261,1936,1644,1871
TIMIS,2871,372,138,469,726,487,679
TULCEA,2567,504,229,270,466,570,528
VALCEA,4873,1069,310,532,951,1017,994
VASLUI ,8304,411,218,1038,2443,2120,2074
VRANCEA,4469,815,248,647,936,878,945
TOTAL,234481,35191,14832,35141,55515,44444,49358
