judet ,TOTAL ,Sub 25 ani,25 - 29 ani,30 - 39 ani,40 - 49 ani,50 - 55 ani,peste 55 ani
ALBA,5735,832,470,960,1322,1098,1053
ARAD,2335,146,81,370,622,592,524
ARGES,8375,911,532,1440,2060,1654,1778
BACAU,5233,570,251,615,1308,1173,1316
BIHOR,3469,307,190,573,870,671,858
BISTRITA NASAUD,4384,578,242,519,1002,844,1199
BOTOSANI,3792,373,150,524,952,822,971
BRAILA,3756,400,170,543,935,647,1061
BRASOV,6368,1102,546,1169,1448,988,1115
BUZAU,8112,640,338,1087,2022,2018,2007
CALARASI,4103,653,188,812,1045,620,785
CARAS-SEVERIN,2652,281,140,380,634,544,673
CLUJ,4509,447,258,841,1151,874,938
CONSTANTA,6056,751,332,709,1418,1023,1823
COVASNA,3369,778,248,643,749,506,445
DAMBOVITA,4651,824,385,696,970,874,902
DOLJ,16868,1767,1142,2701,4278,3397,3583
GALATI,8825,874,367,1099,2343,1695,2447
GIURGIU,2156,377,186,328,480,365,420
GORJ,3960,361,177,590,938,940,954
HARGHITA,5246,920,366,1079,1254,850,777
HUNEDOARA,7275,897,566,1175,1738,1611,1288
IALOMITA,4066,475,223,548,1008,705,1107
IASI,8245,659,327,1185,2248,1435,2391
ILFOV,1001,158,63,131,235,192,222
MARAMURES,4494,883,314,817,1085,780,615
MEHEDINTI,6188,579,295,847,1508,1404,1555
MUNICIPIUL BUCURESTI,10802,256,900,2485,2736,2459,1966
MURES,6834,1430,657,1227,1525,846,1149
NEAMT,6396,548,241,889,1653,1447,1618
OLT,7370,781,537,934,1793,1649,1676
PRAHOVA,6331,953,315,971,1520,1416,1156
SALAJ,5123,758,350,1091,1279,843,802
SATU-MARE,5360,770,362,1175,1496,836,721
SIBIU,4283,627,288,792,1068,647,861
SUCEAVA,11571,1563,738,2171,2949,1753,2397
TELEORMAN,8058,971,508,1205,1975,1623,1776
TIMIS,2615,215,101,422,689,481,707
TULCEA,2597,414,219,353,517,538,556
VALCEA,5421,823,355,662,1184,1271,1126
VASLUI ,8864,709,252,1142,2294,2266,2201
VRANCEA,2967,435,163,484,658,612,615
TOTAL,239815,28796,14533,38384,58959,47009,52134
