JUDET  ,"Total someri, din care: ",fara studii,invatamant primar ,invatamant gimnazial ,invatamant liceal,invatamant posticeal,invatamant profesional/arte si meserii,invatamant universitar,
ALBA ,5320,341,898,1695,1099,47,884,356,5320
ARAD,2814,708,372,819,407,28,295,185,2814
ARGES,8385,439,2305,2900,1051,92,1297,301,8385
BACAU,5614,360,979,2235,782,50,981,227,5614
BIHOR,4475,516,1275,1211,637,50,442,344,4475
BISTRITA,4607,282,619,1657,1025,56,768,200,4607
BOTOSANI,4788,164,946,2232,581,43,724,98,4788
BRAILA,4178,562,995,1619,334,62,482,124,4178
BRASOV,6467,706,1703,2631,592,48,468,319,6467
BUZAU,7668,831,1884,2836,801,53,1154,109,7668
CALARASI,4080,497,1036,1257,681,39,474,96,4080
CARAS,2922,284,481,893,650,54,381,179,2922
CLUJ,4904,825,870,1236,719,109,713,432,4904
CONSTANTA,5602,761,880,1565,1207,73,803,313,5602
COVASNA,3234,479,1384,738,316,25,234,58,3234
DAMBOVITA,4985,346,1196,1760,855,51,617,160,4985
DOLJ,18664,1320,5427,6862,2586,102,2026,341,18664
GALATI,8664,1073,1988,3483,778,51,1011,280,8664
GIURGIU,2200,252,440,911,376,17,166,38,2200
GORJ,4080,0,586,1290,977,61,931,235,4080
HARGHITA,5653,1120,1704,1391,679,62,570,127,5653
HUNEDOARA,7579,568,1049,2067,2038,131,1148,578,7579
IALOMITA,4197,398,986,1696,405,30,638,44,4197
IASI,9400,519,2172,3337,724,73,2271,304,9400
ILFOV,1003,111,243,311,150,3,103,103,1024
MARAMURES,4445,278,1011,1224,783,83,777,289,4445
MEHEDINTI,6632,621,1162,2820,1112,48,739,130,6632
MUN. BUC.,10611,18,69,1777,3469,234,1966,3078,10611
MURES,7665,1003,2998,2096,643,55,689,181,7665
NEAMT,8126,599,1419,2973,953,78,1856,248,8126
OLT,7543,633,896,3150,1311,87,1321,145,7543
PRAHOVA,6678,493,1230,2048,1075,99,1391,342,6678
SALAJ,5181,650,1660,1493,545,56,653,124,5181
SATU M.,5691,959,2283,1673,318,22,343,93,5691
SIBIU,5081,508,1959,1285,457,34,590,248,5081
SUCEAVA,12107,1019,2846,4476,1437,113,1899,317,12107
TELEORMAN,9452,872,1248,5056,1122,47,982,125,9452
TIMIS,2904,472,258,688,588,47,422,429,2904
TULCEA,2580,0,336,1263,496,0,412,73,2580
VALCEA,4287,100,418,1167,1183,95,1052,272,4287
VASLUI,9292,414,2053,4309,970,42,1420,84,9292
VRANCEA,2809,157,780,1061,371,50,305,85,2809
Total general,252588,22258,55044,87191,37283,2600,36398,11814,252588
